Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
RubixML,0.0.1-alpha,2018-07-07,0,1,1,0,0,0,0,1,0,1
RubixML,0.0.2-alpha,2018-07-07,0,1,1,0,0,0,0,1,0,1
RubixML,0.0.3-alpha,2018-07-19,0,1,1,0,0,0,0,1,0,1
RubixML,0.0.4-alpha,2018-08-07,0,1,1,0,0,0,0,1,0,1
RubixML,0.0.5-alpha,2018-09-21,0,1,1,0,0,0,0,1,0,1
RubixML,0.0.6-alpha,2018-10-30,0,1,1,0,0,0,0,1,0,1
RubixML,0.0.7-alpha,2018-11-29,0,1,1,0,0,0,1,1,0,1
RubixML,0.0.8-alpha,2018-12-29,0,1,1,0,0,0,1,1,0,1
RubixML,0.0.9-beta,2019-02-18,0,1,1,0,0,0,1,1,0,1
RubixML,0.0.10-beta,2019-03-11,0,1,1,0,0,0,1,1,0,1
RubixML,0.0.11-beta,2019-04-18,0,1,1,0,0,0,0,1,0,1
RubixML,0.0.12-beta,2019-05-19,0,1,1,0,0,0,1,1,0,1
RubixML,0.0.13-beta,2019-07-03,0,1,1,0,0,0,0,1,0,1
RubixML,0.0.14-beta,2019-07-28,0,1,1,0,0,0,1,1,0,1
RubixML,0.0.15-beta,2019-09-02,0,1,1,0,0,0,0,1,0,1
RubixML,0.0.16-beta,2019-10-24,0,1,1,0,0,0,1,1,0,1
RubixML,0.0.17-beta,2019-11-14,0,1,1,0,0,0,1,1,0,1
RubixML,0.0.18-beta,2019-12-30,0,1,1,0,0,0,0,1,0,1
RubixML,0.0.19-beta,2020-01-29,0,1,1,0,0,0,1,1,0,1
RubixML,0.1.0-rc1,2020-02-29,0,1,1,0,0,0,1,1,0,1
RubixML,0.1.0-rc2,2020-04-03,0,1,1,0,0,0,0,1,0,1
RubixML,0.1.0-rc3,2020-05-11,0,1,1,0,0,0,1,1,0,1
RubixML,0.1.0-rc4,2020-06-08,0,1,1,0,0,0,1,1,0,1
RubixML,0.1.0-rc5,2020-07-08,0,1,1,0,0,0,1,1,0,1
RubixML,0.1.0,2020-08-06,0,1,1,0,0,0,0,1,0,1
RubixML,0.1.1,2020-08-08,0,1,1,0,0,0,1,1,0,1
RubixML,0.1.2,2020-08-15,0,1,1,0,0,0,1,1,0,1
RubixML,0.1.3,2020-08-25,0,1,1,0,0,0,1,1,0,1
RubixML,0.1.4,2020-08-30,0,1,1,0,0,0,0,1,0,1
RubixML,0.1.5,2020-09-07,0,1,1,0,0,0,1,1,0,1
RubixML,0.1.6,2020-09-13,0,1,1,0,0,0,1,1,0,1
RubixML,0.2.0,2020-09-13,0,1,1,0,0,0,1,1,0,1
RubixML,0.2.1,2020-09-27,0,1,1,0,0,0,1,1,0,1
RubixML,0.2.2,2020-10-04,0,1,1,0,0,0,1,1,0,1
RubixML,0.2.3,2020-10-25,0,1,1,0,0,0,1,1,0,1
RubixML,0.2.4,2020-11-30,0,1,1,0,0,0,1,1,0,1
RubixML,0.3.0,2021-01-01,0,1,1,0,0,0,1,1,0,1
RubixML,0.3.1,2021-01-11,0,1,1,0,0,0,1,1,0,1
RubixML,0.3.2,2021-02-20,0,1,1,0,0,0,0,1,0,1
RubixML,0.4.0,2021-03-07,0,1,1,0,0,0,1,1,0,1
RubixML,0.4.1,2021-03-28,0,1,1,0,0,0,1,1,0,1
RubixML,1.0.0-beta1,2021-04-12,0,1,1,0,0,0,1,1,0,1
RubixML,1.0.0-beta2,2021-04-18,0,1,1,0,0,0,1,1,0,1
RubixML,1.0.0-rc1,2021-05-03,0,1,1,0,0,0,0,1,0,1
RubixML,1.0.0,2021-05-08,0,1,1,0,0,0,0,1,0,1
RubixML,1.0.1,2021-05-25,0,1,1,0,0,0,0,1,0,1
RubixML,1.0.2,2021-05-26,0,1,1,0,0,0,0,1,0,1
RubixML,1.0.3,2021-06-19,0,1,1,0,0,0,1,1,0,1
RubixML,1.1.0,2021-07-05,0,1,1,0,0,0,0,1,0,1
