Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
TagUI,v0.1.0,2016-12-06,0,1,1,0,0,0,1,1,0,1
TagUI,v0.6.0,2017-02-02,0,1,1,0,0,0,1,1,1,1
TagUI,v1.0.0,2017-03-23,0,1,1,0,0,0,1,1,0,1
TagUI,v1.5.0,2017-05-10,0,1,1,0,0,0,0,1,1,1
TagUI,v1.8.0,2017-06-16,0,1,1,0,0,0,0,1,0,1
TagUI,v2.0.0,2017-07-09,0,1,1,0,0,0,0,1,0,1
TagUI,v2.1.0,2017-07-21,0,1,1,0,0,0,0,1,0,1
TagUI,v2.3.0,2017-08-10,0,1,1,0,0,0,0,1,0,1
TagUI,v2.4.0,2017-08-22,0,1,1,0,0,0,0,1,0,1
TagUI,v2.5.0,2017-10-16,0,1,1,0,0,0,0,1,0,1
TagUI,v2.6.0,2017-10-31,0,1,1,0,0,0,0,1,0,1
TagUI,v3.0.0,2017-11-27,0,1,1,0,0,0,1,1,0,1
TagUI,v3.1.0,2017-12-20,0,1,1,0,0,0,0,1,0,1
TagUI,v3.5.0,2018-03-29,0,1,1,0,0,0,1,1,0,1
TagUI,v4.0.0,2018-06-21,0,1,1,0,0,0,1,1,0,1
TagUI,v4.1.0,2018-08-19,0,1,1,1,0,0,1,1,0,1
TagUI,v5.0.0,2019-04-08,0,1,1,1,0,0,1,1,0,1
TagUI,v5.11.0,2019-12-20,0,1,1,0,0,0,0,1,0,1
TagUI,v6.0.0,2020-03-10,0,1,1,0,0,0,1,1,1,1
TagUI,v6.14.0,2020-12-19,0,1,1,0,0,0,1,1,1,1
TagUI,v6.46.0,2021-06-16,0,1,1,0,0,0,1,1,0,1
TagUI,v6.64.0,2021-07-21,0,0,1,1,0,0,0,1,1,1
