Release,Published_at
1.2.4,2024-08-20T10:37:29Z
1.2.3,2023-12-16T00:56:59Z
1.2.2,2023-09-27T19:01:13Z
1.2.1,2023-09-11T18:51:58Z
1.2.0,2023-05-12T10:16:57Z
1.1.14,2023-01-07T20:42:30Z
1.1.13,2022-04-18T01:40:02Z
1.1.12,2022-04-01T18:02:29Z
1.1.11,2021-11-22T11:15:55Z
1.1.10,2021-11-10T01:09:47Z
1.1.9,2021-09-30T22:35:31Z
1.1.8,2020-10-29T15:54:47Z
1.1.8pre,2019-08-27T23:23:39Z
1.1.7,2018-12-29T04:23:49Z
1.1.6,2018-07-16T12:40:24Z
1.1.5,2018-05-14T16:22:47Z
1.1.5pre,2017-10-22T01:07:52Z
1.1.4,2017-09-29T02:21:21Z
1.1.3,2017-07-08T21:51:16Z
1.1.2,2017-06-11T19:18:14Z
1.1.1,2017-03-23T23:10:31Z
1.1.0,2016-12-23T20:35:35Z
1.1.0rc,2016-11-26T19:14:59Z
1.1.0pre-CIG2016-warm-up-fixed,2016-06-12T11:07:33Z
1.0.4,2016-06-14T22:42:43Z
1.0.3,2016-05-29T10:30:21Z
1.0.2,2016-05-17T19:11:40Z
1.0.1,2016-05-08T23:20:30Z
1.0.0,2016-04-18T22:59:28Z
1.0.0-rc,2016-03-25T13:59:01Z
