Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
ViZDoom,1.0.0-rc,2016-03-25,0,1,1,0,0,0,1,1,0,1
ViZDoom,1.0.0,2016-04-18,0,1,1,0,0,0,1,1,0,1
ViZDoom,1.0.1,2016-05-08,0,1,1,0,0,0,1,1,0,1
ViZDoom,1.0.2,2016-05-17,0,1,1,0,0,0,1,1,0,1
ViZDoom,1.0.3,2016-05-29,0,1,1,0,0,0,1,1,0,1
ViZDoom,1.1.0pre-CIG2016-warm-up-fixed,2016-06-12,0,1,1,1,0,0,0,1,1,1
ViZDoom,1.1.0rc,2016-11-26,0,1,1,0,0,0,1,1,0,1
ViZDoom,1.1.0,2016-12-23,0,1,1,0,0,0,1,1,0,1
ViZDoom,1.1.1,2017-03-23,0,1,1,0,0,0,1,1,0,1
ViZDoom,1.1.2,2017-06-11,0,1,1,0,0,0,1,1,0,1
ViZDoom,1.1.3,2017-07-08,0,1,1,1,0,0,1,1,0,1
ViZDoom,1.1.4,2017-09-29,0,1,1,0,0,0,1,1,0,1
ViZDoom,1.1.5pre,2017-10-22,0,1,1,1,0,0,1,1,0,1
ViZDoom,1.1.5,2018-05-14,0,1,1,0,0,0,1,1,0,1
ViZDoom,1.1.6,2018-07-16,0,1,1,0,0,0,1,1,0,1
ViZDoom,1.1.7,2018-12-29,1,1,1,0,0,1,1,1,0,1
ViZDoom,1.1.8pre,2019-08-27,1,1,1,1,1,1,1,1,0,1
ViZDoom,1.1.8,2020-10-29,0,1,1,1,0,0,1,1,0,1
ViZDoom,1.1.9,2021-09-30,0,1,1,0,0,0,0,1,0,1
ViZDoom,1.1.10,2021-11-10,0,1,1,0,0,0,0,1,0,1
ViZDoom,1.1.11,2021-11-22,0,1,1,1,0,0,1,1,0,1
ViZDoom,1.1.12,2022-04-01,0,1,1,0,0,0,0,1,0,1
ViZDoom,1.1.13,2022-04-18,0,1,1,1,0,0,1,1,0,1
ViZDoom,1.1.14,2023-01-07,1,1,1,1,0,0,1,1,0,1
ViZDoom,1.2.0,2023-05-12,0,1,1,0,0,0,1,1,0,1
ViZDoom,1.2.1,2023-09-11,0,1,1,0,0,0,0,1,0,1
ViZDoom,1.2.2,2023-09-27,0,1,1,0,0,0,1,1,0,1
ViZDoom,1.2.3,2023-12-16,0,1,1,0,0,0,1,1,0,1
