Release,Published_at
v3.0.0-beta,2024-10-30T02:46:42Z
v2.5.0,2023-01-17T11:47:28Z
v2.4.2,2022-12-26T03:20:57Z
v2.4.1,2022-09-16T02:07:11Z
v2.4.0,2022-08-23T10:17:56Z
v2.3.0,2022-08-23T10:12:53Z
v2.2.1,2021-09-06T08:03:22Z
v2.2.0,2021-05-24T15:45:53Z
v2.1.1,2021-02-01T09:03:52Z
v2.1.0,2020-12-29T13:20:08Z
v2.0.5,2020-11-26T10:19:27Z
v2.0.4,2020-09-21T12:20:45Z
v2.0.3,2020-09-14T11:26:52Z
v2.0.1,2020-08-19T04:51:34Z
v2.0.0,2020-08-12T06:54:32Z
v2.0.0-beta.8,2020-07-21T14:59:34Z
v2.0.0-beta.7,2020-06-28T06:55:22Z
