Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
VisualDL,v2.0.0-beta.7,2020-06-28,0,1,1,0,0,0,1,1,0,1
VisualDL,v2.0.0-beta.8,2020-07-21,0,1,1,0,0,0,1,1,0,1
VisualDL,v2.0.0,2020-08-12,0,1,1,0,0,0,1,1,0,1
VisualDL,v2.0.1,2020-08-19,0,1,1,0,0,0,1,1,0,1
VisualDL,v2.0.3,2020-09-14,0,1,1,0,0,0,1,1,0,1
VisualDL,v2.0.4,2020-09-21,0,1,1,0,0,0,1,1,0,1
VisualDL,v2.0.5,2020-11-26,0,1,1,0,0,0,1,1,0,1
VisualDL,v2.1.0,2020-12-29,0,1,1,0,0,0,1,1,0,1
VisualDL,v2.1.1,2021-02-01,0,1,1,1,0,0,1,1,0,1
VisualDL,v2.2.0,2021-05-24,0,1,1,1,0,0,1,1,0,1
VisualDL,v2.2.1,2021-09-06,0,1,1,1,0,1,1,1,0,1
VisualDL,v2.3.0,2022-08-23,0,1,1,0,0,0,1,1,0,1
VisualDL,v2.4.0,2022-08-23,0,1,1,0,0,0,1,1,0,1
VisualDL,v2.4.1,2022-09-16,0,1,1,0,0,0,1,1,0,1
VisualDL,v2.4.2,2022-12-26,0,1,1,0,0,0,1,1,0,1
VisualDL,v2.5.0,2023-01-17,1,1,1,0,0,1,0,1,0,1
