Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
ai-chatbot-framework,0.0.1,2025-01-08,0,1,1,0,0,0,1,1,0,1
ai-chatbot-framework,v1.0.0-alpha.1,2025-01-10,0,1,1,0,0,0,1,1,0,1
ai-chatbot-framework,v1.0.0-alpha.2,2025-01-10,0,1,1,0,0,0,1,1,0,1
ai-chatbot-framework,v1.0.0-alpha.3,2025-01-12,0,1,1,0,0,0,0,1,0,1
ai-chatbot-framework,v1.0.0-alpha.4,2025-01-19,0,1,1,0,0,0,1,1,0,1
ai-chatbot-framework,v1.0.0-alpha.5,2025-01-21,0,1,1,0,0,0,0,1,0,1
ai-chatbot-framework,v1.0.0-alpha.6,2025-01-25,0,1,1,0,0,0,0,1,0,1
ai-chatbot-framework,v1.0.0-alpha.7,2025-01-28,0,1,1,0,0,0,0,1,0,1
ai-chatbot-framework,v1.0.0-alpha.8,2025-02-02,0,1,1,0,0,0,0,1,0,1
ai-chatbot-framework,v1.0.0-alpha.9,2025-02-02,0,1,1,0,0,0,0,1,0,1
