Release,Published_at
v2.10.1,2022-10-18T23:32:24Z
v2.10.0,2022-07-14T18:35:21Z
v2.9.3,2022-04-14T21:48:50Z
v2.9.2,2022-03-21T23:49:20Z
v2.9.1,2022-03-09T21:56:06Z
v2.9.0,2022-01-27T17:53:29Z
v2.8.0,2021-11-01T21:11:27Z
v2.7.0,2021-09-01T21:21:18Z
v2.6.0,2021-07-19T22:47:14Z
v2.5.0,2021-06-03T17:19:41Z
v2.4.0,2021-04-23T00:15:51Z
v2.3.1,2021-04-20T21:46:17Z
v2.3.0,2021-04-14T22:50:34Z
v2.2.0,2021-03-26T17:11:08Z
v1.5.0,2021-03-01T23:30:13Z
v2.1.0,2021-02-24T21:20:22Z
v2.0.1,2021-01-29T21:48:11Z
v1.4.1,2021-01-29T23:34:22Z
v2.0.0,2021-01-27T23:30:29Z
v1.4.0,2021-01-27T00:27:30Z
v2.0.0rc1,2021-01-22T01:20:43Z
v1.3.0,2020-12-15T22:10:16Z
v1.2.2,2020-11-17T18:26:44Z
v1.2.1,2020-11-11T00:22:48Z
v1.2.0,2020-10-29T21:37:50Z
v1.2.0rc1,2020-10-22T21:45:38Z
v1.1.0,2020-09-08T20:32:48Z
v1.1.0rc4,2020-08-20T18:50:56Z
v1.1.0rc3,2020-08-12T20:18:44Z
v1.1.0rc2,2020-07-31T17:03:21Z
v1.1.0rc1,2020-07-14T21:00:22Z
v1.0.0,2020-06-16T18:29:23Z
v1.0.0rc6,2020-06-11T21:44:35Z
v1.0.0rc5,2020-05-26T23:19:58Z
v1.0.0rc4,2020-05-14T21:01:15Z
v1.0.0rc3,2020-04-27T20:10:54Z
v1.0.0.rc2,2020-04-23T21:38:44Z
v1.0.0.rc1,2020-04-16T23:15:30Z
v0.9.0,2019-09-25T14:34:32Z
v0.8.5,2019-08-21T18:10:25Z
v0.8.4,2019-05-30T22:14:32Z
v0.8.3,2019-03-29T23:44:27Z
v0.8.2,2019-02-19T16:59:36Z
v0.8.1,2019-01-08T17:29:13Z
v0.8.0,2018-12-20T00:14:13Z
v0.7.2,2018-12-03T21:37:05Z
v0.7.1,2018-11-12T16:24:56Z
v0.7.0,2018-10-05T23:01:59Z
v0.6.1,2018-08-31T00:19:25Z
v0.6.0,2018-08-15T17:56:03Z
v0.5.1,2018-06-14T00:23:07Z
v0.5.0,2018-06-13T18:26:49Z
v0.4.3,2018-05-25T01:42:09Z
v0.4.2,2018-05-01T18:03:29Z
v0.4.1,2018-03-23T22:40:12Z
v0.4.0,2018-02-20T21:54:32Z
v0.3.0,2017-12-15T16:26:27Z
v0.2.3,2017-12-06T19:05:30Z
v0.2.0,2017-09-08T13:57:04Z
