Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
angel,v1.0.0,2017-06-15,0,1,1,0,0,0,1,1,0,1
angel,v1.1.0,2017-07-26,0,1,1,0,0,0,1,1,1,1
angel,v1.2.0,2017-09-13,0,1,1,0,0,0,1,1,0,1
angel,v1.2.1,2017-10-26,0,1,1,0,0,0,1,1,0,1
angel,v1.3.0,2017-11-21,0,1,1,0,0,0,1,1,1,1
angel,v1.4.0,2018-01-31,1,1,1,1,0,0,1,1,0,1
angel,v1.5.0,2018-04-13,0,1,1,0,0,0,1,1,0,1
angel,v1.5.1,2018-05-02,1,0,1,1,0,0,1,1,0,1
angel,2.0.0-alpha,2018-08-25,0,1,0,0,0,0,1,1,0,1
angel,Release-2.0.0,2018-12-03,0,1,1,0,0,0,1,1,0,1
angel,Release-2.0.1,2019-01-11,0,1,1,0,0,0,1,1,0,1
angel,Release-2.0.2,2019-01-30,0,1,1,0,0,0,1,1,0,1
angel,Release-2.1.0,2019-03-08,0,1,1,0,0,0,1,1,1,1
angel,Release-2.2.0,2019-05-06,0,0,1,1,0,0,0,0,1,1
angel,Release-2.3.0,2019-08-16,0,1,1,0,0,0,1,1,0,1
angel,Release-3.0.0,2019-08-20,0,1,1,0,0,0,1,1,0,1
angel,Release-2.4.0,2019-12-06,0,1,1,1,0,0,1,1,0,1
angel,v3.1.0,2020-05-06,0,0,1,0,0,0,0,0,1,1
