Release,Published_at
v1.1.0,2021-06-30T11:50:55Z
v1.0.1,2021-06-22T17:06:11Z
v1.0.0,2020-06-28T19:25:54Z
v0.12.0,2020-04-13T02:14:05Z
v0.10.2,2020-03-12T10:44:57Z
v0.10.1,2020-01-10T15:42:03Z
v0.10.0,2020-01-07T14:51:45Z
v0.9.0,2020-01-03T13:39:18Z
v0.8.0,2019-12-24T16:26:51Z
v0.7.0,2019-12-12T18:08:32Z
v0.6.3,2019-12-03T18:11:16Z
v0.6.2-Daito-RC1,2019-11-26T02:57:13Z
v0.6.1,2019-07-10T14:10:58Z
v0.6.0,2019-06-21T04:05:02Z
v0.5.5,2019-06-20T10:48:26Z
v0.5.4,2019-06-12T07:44:24Z
v0.5.3,2019-06-03T07:50:44Z
v0.5.2,2019-05-09T16:45:09Z
v0.5.1,2019-03-29T02:19:59Z
v0.5.0,2019-02-02T16:23:13Z
v0.4.0,2018-12-12T06:11:09Z
v0.3.4,2018-12-07T19:55:13Z
v0.3.3,2018-11-29T15:03:16Z
v0.3.2,2018-11-09T06:54:02Z
v0.3.1,2018-09-28T13:49:59Z
v0.3.0,2018-08-07T16:51:54Z
v0.2.1,2018-08-06T15:52:39Z
v0.2.0,2018-06-29T19:38:20Z
v0.1.10,2018-06-18T18:33:22Z
v0.1.9,2018-06-01T19:28:52Z
v0.1.8,2018-05-13T21:49:27Z
v0.1.7,2018-04-06T20:25:52Z
v0.1.6,2018-04-01T07:37:15Z
v0.1.5,2018-03-21T08:30:45Z
v0.1.4,2018-03-15T12:38:45Z
v0.1.3,2018-03-02T08:01:02Z
v0.1.2,2018-02-16T07:17:08Z
v0.1.1,2018-02-09T09:11:15Z
v0.1.0,2017-12-29T03:05:05Z
