Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
automlbenchmark,v1.6,2020-08-19,0,0,1,1,0,0,0,0,1,1
automlbenchmark,v2.0,2021-09-17,0,1,1,0,0,0,1,1,0,1
automlbenchmark,v2.0.1,2021-09-30,0,1,1,0,0,0,1,1,0,1
automlbenchmark,v2.0.2,2021-11-09,0,1,1,0,0,0,1,1,0,1
automlbenchmark,v2.0.4,2021-12-31,0,1,1,0,0,0,1,1,0,1
automlbenchmark,v2.0.5,2022-01-07,1,1,1,1,0,1,1,1,0,1
automlbenchmark,v2.1.0,2023-06-20,0,1,1,0,0,0,1,1,0,1
automlbenchmark,v2.1.1,2023-06-22,0,1,1,0,0,0,0,1,0,1
automlbenchmark,v2.1.3,2023-06-28,0,1,1,0,0,0,0,1,0,1
automlbenchmark,v2.1.4,2023-06-29,0,1,1,0,0,0,0,1,0,1
automlbenchmark,v2.1.5,2023-06-29,0,1,1,0,0,0,0,1,0,1
automlbenchmark,v2.1.6,2023-06-30,0,1,1,0,0,0,1,1,0,1
