Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
bert_score,v0.2.0,2020-04-18,0,1,1,0,0,0,1,1,0,1
bert_score,v0.2.1,2020-04-18,0,1,1,0,0,0,1,1,0,1
bert_score,v0.2.2,2020-04-18,0,1,1,0,0,0,1,1,0,1
bert_score,v0.2.3,2020-04-18,0,1,1,0,0,0,1,1,0,1
bert_score,v0.3.0,2020-04-18,0,1,1,0,0,0,1,1,0,1
bert_score,v0.3.1,2020-04-18,0,1,1,0,0,0,1,1,0,1
bert_score,v0.3.2,2020-04-18,0,1,1,0,0,0,1,1,0,1
bert_score,v0.3.3,2020-05-10,0,1,1,0,0,0,1,1,0,1
bert_score,v0.3.4,2020-06-10,0,1,1,0,0,0,1,1,0,1
bert_score,v0.3.5,2020-07-17,0,1,1,0,0,0,0,1,0,1
bert_score,v0.3.6,2020-09-03,0,1,1,1,0,0,1,1,0,1
bert_score,v0.3.7,2020-12-06,1,1,1,1,0,1,1,1,0,1
bert_score,v0.3.8,2021-03-03,0,1,1,0,0,0,1,1,0,1
bert_score,v0.3.9,2021-04-17,0,1,1,0,0,0,1,1,0,1
bert_score,v0.3.10,2021-08-05,0,1,1,1,0,0,1,1,0,1
bert_score,v0.3.11,2021-12-10,0,1,1,1,0,1,1,1,0,1
bert_score,v0.3.12,2022-10-14,1,1,1,1,0,1,1,1,0,1
