Release,Published_at
v0.10.1,2019-12-30T09:23:19Z
v0.9.2,2019-12-30T09:29:18Z
v0.10.0,2019-02-25T10:38:57Z
v0.9.1,2019-02-24T21:01:28Z
v0.9.0,2017-11-04T20:49:42Z
v0.8.3,2017-02-13T22:12:58Z
v0.8.2,2016-12-10T23:28:23Z
v0.8.1,2016-06-21T19:37:45Z
v0.8.0,2016-05-06T22:11:04Z
v0.7.6,2016-05-06T22:01:16Z
v0.7.5,2016-03-27T19:40:38Z
v0.7.4,2016-02-06T23:45:43Z
v0.7.3,2015-10-28T05:49:57Z
v0.7.2,2015-09-09T21:49:43Z
v0.7.1,2015-07-13T20:52:05Z
v0.7.0,2015-06-09T22:55:38Z
v0.6.4,2015-05-04T05:34:57Z
v0.6.3,2015-04-12T21:51:26Z
v0.6.2,2015-03-27T07:03:36Z
v0.6.1,2015-03-23T00:40:50Z
v0.6.0,2015-03-19T00:31:58Z
v0.5.9,2015-03-06T22:33:25Z
v0.5.8,2015-02-21T11:40:23Z
v0.5.7,2015-02-15T11:05:15Z
v0.5.6,2015-01-26T23:51:30Z
v0.5.5,2015-01-21T20:27:56Z
v0.5.4,2014-11-23T21:15:07Z
v0.5.3,2014-10-21T21:05:50Z
v0.5.2,2014-09-28T11:53:33Z
v0.5.1,2014-09-20T14:25:31Z
