Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
caffe,v0.1,2014-03-19,0,1,1,0,0,0,1,1,0,1
caffe,bsd,2014-03-19,0,1,1,0,0,0,1,1,0,1
caffe,v0.9,2014-03-19,0,1,1,0,0,0,1,1,0,1
caffe,rcnn-release,2014-03-20,0,0,1,0,0,0,0,1,1,1
caffe,v0.99,2014-03-20,0,0,1,0,0,0,0,1,1,1
caffe,v0.999,2014-05-20,0,1,1,0,0,0,1,1,0,1
caffe,acm-mm-oss,2014-05-24,0,0,1,1,1,0,0,0,1,1
caffe,v0.9999,2014-08-08,0,1,1,0,0,0,1,1,1,1
caffe,rc,2014-09-19,0,0,1,1,1,0,0,0,1,1
caffe,rc2,2015-02-20,1,0,1,1,0,1,0,1,1,1
caffe,rc3,2016-01-30,0,0,1,1,1,1,0,0,0,1
caffe,rc4,2017-01-20,0,1,1,0,0,0,1,1,0,1
caffe,rc5,2017-02-21,0,0,1,0,1,0,1,1,0,1
