Release,Published_at
node-package-v1.26.0,2024-12-07T11:22:32Z
v1.2.7,2024-09-07T20:11:05Z
v1.2.6,2024-09-05T10:59:44Z
v1.2.5,2024-04-18T20:19:33Z
v1.2.3,2024-02-23T14:10:41Z
v1.2.2,2023-09-19T20:01:10Z
v1.2.1,2023-08-28T20:57:58Z
v1.2,2023-05-01T23:11:47Z
v1.1.1,2022-11-01T19:55:14Z
v1.1,2022-09-26T19:30:12Z
v1.0.6,2022-05-19T07:31:43Z
v1.0.5,2022-04-07T07:35:23Z
v1.0.4,2022-01-14T11:45:18Z
v1.0.3,2021-11-04T04:25:01Z
v1.0.2,2021-11-04T04:03:55Z
v1.0.1,2021-11-02T22:34:59Z
v1.0.0,2021-10-01T10:07:57Z
v0.26.1,2021-08-05T15:47:36Z
v0.26,2021-06-03T23:41:35Z
v0.25.1,2021-04-05T22:23:00Z
v0.25,2021-03-24T21:52:56Z
v0.24.4,2020-12-27T09:12:53Z
v0.24.3,2020-11-18T14:56:33Z
v0.24.2,2020-10-07T17:19:05Z
v0.24.1,2020-08-27T02:01:20Z
v0.24,2020-08-05T08:23:07Z
v0.23.2,2020-05-26T14:23:47Z
v0.23.1,2020-05-15T07:51:45Z
v0.23,2020-04-25T16:38:47Z
v0.22,2020-03-02T15:46:03Z
v0.21,2020-01-31T16:55:05Z
v0.20.2,2019-12-25T20:11:43Z
v0.20.1,2019-12-11T02:46:42Z
v0.20,2019-11-28T04:17:06Z
v0.19.1,2019-11-19T15:55:01Z
v0.18.1,2019-10-31T03:32:21Z
v0.18,2019-10-21T16:33:02Z
v0.17.5,2019-10-10T15:29:38Z
v0.17.4,2019-10-01T16:29:06Z
v0.17.3,2019-09-24T07:32:21Z
v0.17.2,2019-09-19T03:31:29Z
v0.17.1,2019-09-13T15:35:05Z
v0.17,2019-09-10T03:30:39Z
v0.16.5,2019-08-20T07:25:42Z
v0.16.4,2019-08-14T08:29:53Z
v0.16.3,2019-08-11T12:10:46Z
v0.16.2,2019-08-02T15:59:17Z
v0.16.1,2019-07-30T15:52:37Z
v0.16,2019-07-24T00:56:32Z
v0.15.2,2019-06-28T13:59:31Z
v0.15.1,2019-05-31T19:05:47Z
v0.15,2019-05-27T17:16:07Z
v0.14.2,2019-04-17T22:30:01Z
v0.14.1,2019-04-13T12:47:29Z
v0.14.0,2019-04-09T04:29:07Z
v0.13.1,2019-03-20T03:43:31Z
v0.13,2019-03-14T10:24:39Z
v0.12.2,2019-01-18T16:48:24Z
v0.12.1.1,2019-01-10T01:39:47Z
v0.12.1,2018-12-30T15:33:37Z
v0.12.0,2018-12-26T05:03:53Z
v0.11.2,2018-12-10T16:58:30Z
v0.11.1,2018-11-13T21:10:17Z
v0.11.0,2018-11-07T16:15:51Z
v0.10.4,2018-10-26T09:02:35Z
v0.10.3,2018-10-11T10:30:37Z
v0.10.2,2018-09-20T13:39:31Z
v0.10.1,2018-09-18T16:23:04Z
v0.10.0,2018-09-13T01:20:08Z
v0.9.1.1,2018-07-07T20:31:31Z
v0.9,2018-07-05T13:24:34Z
v0.8.1,2018-04-25T14:55:30Z
v0.8,2018-04-19T08:22:28Z
v0.7.2,2018-04-06T10:54:00Z
v0.7.1,2018-04-06T06:48:52Z
v0.7,2018-03-29T09:31:12Z
v0.6.3,2018-03-05T14:10:47Z
v0.6.2,2018-02-09T14:13:03Z
v0.6.1.1,2018-02-02T11:07:45Z
v0.6.1,2018-02-01T15:01:59Z
v0.6,2018-01-30T02:56:05Z
v0.5.2.1,2018-01-09T12:27:57Z
v0.5.2,2017-12-28T13:53:30Z
v0.5.1,2017-12-19T10:57:35Z
v0.5,2017-11-29T23:24:38Z
v0.4.1,2017-11-23T13:10:10Z
v0.4,2017-11-22T08:38:48Z
v.0.3,2017-11-02T08:10:14Z
v0.2,2017-09-14T11:23:21Z
