Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
catboost,v0.2,2017-09-14,0,1,1,0,0,0,1,1,0,1
catboost,v.0.3,2017-11-02,0,1,1,0,0,0,1,1,0,1
catboost,v0.4,2017-11-22,0,1,1,0,0,0,0,1,0,1
catboost,v0.4.1,2017-11-23,0,1,1,0,0,0,1,1,0,1
catboost,v0.5,2017-11-29,0,1,1,0,0,0,1,1,0,1
catboost,v0.5.1,2017-12-19,0,1,1,0,0,0,1,1,0,1
catboost,v0.5.2,2017-12-28,0,1,1,0,0,0,1,1,0,1
catboost,v0.5.2.1,2018-01-09,0,1,1,0,0,0,1,1,0,1
catboost,v0.6,2018-01-30,0,1,1,0,0,0,1,1,0,1
catboost,v0.6.1,2018-02-01,0,1,1,0,0,0,1,1,0,1
catboost,v0.6.1.1,2018-02-02,0,1,1,0,0,0,1,1,0,1
catboost,v0.6.2,2018-02-09,0,1,1,0,0,0,1,1,0,1
catboost,v0.6.3,2018-03-05,0,1,1,0,0,0,1,1,0,1
catboost,v0.7,2018-03-29,0,1,1,0,0,0,1,1,0,1
catboost,v0.7.1,2018-04-06,0,1,1,0,0,0,1,1,0,1
catboost,v0.7.2,2018-04-06,0,1,1,0,0,0,1,1,0,1
catboost,v0.8,2018-04-19,0,1,1,0,0,0,1,1,0,1
catboost,v0.8.1,2018-04-25,0,0,1,0,0,0,0,0,0,1
catboost,v0.9,2018-07-05,0,1,1,0,0,0,1,1,0,1
catboost,v0.9.1.1,2018-07-07,0,0,1,0,1,0,0,0,0,1
catboost,v0.10.0,2018-09-13,0,1,1,0,0,0,1,1,0,1
catboost,v0.10.1,2018-09-18,0,1,1,0,0,0,1,1,0,1
catboost,v0.10.2,2018-09-20,0,1,1,0,0,0,1,1,0,1
catboost,v0.10.3,2018-10-11,0,1,1,0,0,0,1,1,0,1
catboost,v0.10.4,2018-10-26,0,1,1,0,0,0,1,1,0,1
catboost,v0.11.0,2018-11-07,0,1,1,0,0,0,1,1,0,1
catboost,v0.11.1,2018-11-13,0,1,1,0,0,0,1,1,0,1
catboost,v0.11.2,2018-12-10,0,1,1,0,0,0,1,1,0,1
catboost,v0.12.0,2018-12-26,0,1,1,0,0,0,1,1,0,1
catboost,v0.12.1,2018-12-30,0,1,1,0,0,0,1,1,0,1
catboost,v0.12.1.1,2019-01-10,0,1,1,0,0,0,1,1,0,1
catboost,v0.12.2,2019-01-18,0,0,1,0,0,0,0,0,0,1
catboost,v0.13,2019-03-14,0,1,1,0,0,0,1,1,0,1
catboost,v0.13.1,2019-03-20,0,1,1,0,0,0,1,1,0,1
catboost,v0.14.0,2019-04-09,0,1,1,0,0,0,1,1,0,1
catboost,v0.14.1,2019-04-13,0,1,1,0,0,0,1,1,0,1
catboost,v0.14.2,2019-04-17,0,0,1,0,0,0,0,0,0,1
catboost,v0.15,2019-05-27,0,1,1,0,0,0,1,1,0,1
catboost,v0.15.1,2019-05-31,0,1,1,0,0,0,1,1,0,1
catboost,v0.15.2,2019-06-28,0,1,1,0,0,0,1,1,0,1
catboost,v0.16,2019-07-24,0,1,1,0,0,0,1,1,0,1
catboost,v0.16.1,2019-07-30,0,1,1,0,0,0,1,1,0,1
catboost,v0.16.2,2019-08-02,0,1,1,0,0,0,1,1,0,1
catboost,v0.16.3,2019-08-11,0,1,1,0,0,0,1,1,0,1
catboost,v0.16.4,2019-08-14,0,1,1,0,0,0,1,1,0,1
catboost,v0.16.5,2019-08-20,0,1,1,0,0,0,1,1,0,1
catboost,v0.17,2019-09-10,0,1,1,0,0,0,1,1,0,1
catboost,v0.17.1,2019-09-13,0,1,1,0,0,0,1,1,0,1
catboost,v0.17.2,2019-09-19,0,1,1,0,0,0,1,1,0,1
catboost,v0.17.3,2019-09-24,0,1,1,0,0,0,1,1,0,1
catboost,v0.17.4,2019-10-01,0,1,1,0,0,0,1,1,0,1
catboost,v0.17.5,2019-10-10,0,1,1,0,0,0,1,1,0,1
catboost,v0.18,2019-10-21,0,1,1,0,0,0,1,1,0,1
catboost,v0.18.1,2019-10-31,0,1,1,0,0,0,1,1,0,1
catboost,v0.19.1,2019-11-19,0,1,1,0,0,0,1,1,0,1
catboost,v0.20,2019-11-28,0,1,1,0,0,0,1,1,0,1
catboost,v0.20.1,2019-12-11,0,1,1,0,0,0,1,1,0,1
catboost,v0.20.2,2019-12-25,0,0,1,0,0,0,0,0,0,1
catboost,v0.21,2020-01-31,0,1,1,0,0,0,1,1,0,1
catboost,v0.22,2020-03-02,0,0,1,0,0,0,0,0,0,1
catboost,v0.23,2020-04-25,0,1,1,0,0,0,1,1,0,1
catboost,v0.23.1,2020-05-15,0,1,1,0,0,0,1,1,0,1
catboost,v0.23.2,2020-05-26,0,0,1,0,0,0,0,0,0,1
catboost,v0.24,2020-08-05,0,1,1,0,0,0,1,1,0,1
catboost,v0.24.1,2020-08-27,0,1,1,0,0,0,1,1,0,1
