Release,Published_at
1.0.38,2024-10-08T06:56:57Z
1.0.37,2024-09-02T09:45:52Z
1.0.36,2023-10-27T11:37:25Z
1.0.35,2023-10-27T07:02:33Z
1.0.34,2023-10-26T11:30:53Z
1.0.33,2023-05-25T09:33:17Z
1.0.32,2023-02-21T12:24:32Z
1.0.31,2022-12-06T14:04:22Z
1.0.30,2022-11-25T06:52:06Z
1.0.29,2022-11-11T06:23:56Z
1.0.28,2022-10-04T06:50:43Z
1.0.27,2022-09-28T07:59:23Z
1.0.26,2022-08-19T06:46:47Z
1.0.25,2022-08-05T06:43:03Z
1.0.24,2022-08-03T09:07:17Z
1.0.23,2022-07-21T12:00:22Z
1.0.22,2022-07-02T14:29:42Z
1.0.21,2022-05-11T07:33:26Z
1.0.20,2022-05-04T05:16:08Z
1.0.19,2022-04-25T12:28:01Z
1.0.18,2022-04-21T09:34:38Z
1.0.17,2022-03-24T08:38:21Z
1.0.16,2021-11-15T05:24:36Z
1.0.15,2021-10-19T13:03:11Z
1.0.14,2021-09-29T06:39:54Z
1.0.13,2021-06-14T08:07:24Z
1.0.12,2021-05-11T06:41:51Z
1.0.11,2021-05-05T08:21:21Z
1.0.10,2021-04-09T06:43:33Z
1.0.9,2021-03-08T06:36:34Z
1.0.8,2021-03-05T06:24:19Z
1.0.7,2021-01-08T06:40:09Z
1.0.6,2020-12-10T13:52:19Z
1.0.5,2020-12-08T12:34:41Z
1.0.4,2020-11-19T12:50:32Z
1.0.3,2020-10-30T06:16:47Z
1.0.2,2020-09-29T07:01:18Z
1.0.1,2020-05-29T10:43:09Z
1.0.0,2020-05-06T12:22:50Z
0.6.4,2020-03-05T05:04:24Z
0.6.3,2020-02-28T08:18:31Z
0.6.2,2020-02-20T05:56:08Z
0.6.1,2020-02-11T07:07:26Z
0.6.0,2020-01-31T17:07:45Z
0.5.8,2020-01-31T16:03:43Z
0.5.7,2019-10-23T05:06:23Z
0.5.6,2019-06-24T11:43:27Z
0.5.5,2019-05-20T12:39:32Z
0.5.4,2019-05-02T13:30:17Z
0.5.3,2019-04-10T07:42:11Z
0.5.2,2019-04-08T05:37:39Z
0.5.1,2019-03-27T07:34:10Z
0.5.0,2019-02-28T05:45:17Z
