Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
coco-annotator,v0.5.0,2019-01-12,0,1,1,0,0,0,0,1,0,1
coco-annotator,v0.5.1,2019-01-13,0,1,1,0,0,0,0,1,0,1
coco-annotator,v0.5.2,2019-01-15,0,1,1,0,0,0,0,1,0,1
coco-annotator,v0.5.3,2019-01-16,0,1,1,0,0,0,1,1,0,1
coco-annotator,v0.5.4,2019-01-26,0,1,1,0,0,0,0,1,0,1
coco-annotator,v0.5.5,2019-01-26,0,1,1,0,0,0,0,1,0,1
coco-annotator,v0.5.6,2019-01-27,0,1,1,0,0,0,0,1,0,1
coco-annotator,v0.5.7,2019-01-29,0,1,1,0,0,0,1,1,0,1
coco-annotator,v0.5.8,2019-02-01,0,1,1,0,0,0,1,1,0,1
coco-annotator,v0.6.0,2019-02-09,0,1,1,0,0,0,0,1,0,1
coco-annotator,v0.6.1,2019-02-09,0,1,1,0,0,0,0,1,0,1
coco-annotator,v0.6.2,2019-02-15,0,1,1,0,0,0,1,1,0,1
coco-annotator,v0.6.3,2019-02-21,0,1,1,0,0,0,0,1,0,1
coco-annotator,v0.7.0,2019-02-23,0,1,1,0,0,0,0,1,0,1
coco-annotator,v0.7.1,2019-02-24,0,1,1,0,0,0,1,1,0,1
coco-annotator,v0.7.2,2019-03-04,0,1,1,0,0,0,1,1,0,1
coco-annotator,v0.8.0,2019-03-17,0,1,1,0,0,0,1,1,0,1
coco-annotator,v0.9.0,2019-03-27,0,1,1,0,0,0,1,1,0,1
coco-annotator,v0.10.0,2019-04-05,0,1,1,0,0,0,1,1,0,1
coco-annotator,v0.10.1,2019-04-07,0,1,1,0,0,0,0,1,0,1
coco-annotator,v0.10.2,2019-04-07,0,1,1,0,0,0,0,1,0,1
coco-annotator,v0.10.3,2019-04-13,0,1,1,0,0,0,1,1,0,1
coco-annotator,v0.10.4,2019-04-17,0,1,1,0,0,0,1,1,0,1
coco-annotator,v0.10.5,2019-04-30,1,1,1,1,0,1,1,1,0,1
coco-annotator,v0.10.6,2019-09-18,1,1,1,0,0,1,1,0,0,1
coco-annotator,v0.11.0,2020-02-25,1,1,1,1,0,0,1,1,0,1
