Release,Published_at
14.14.4,2025-01-16T23:11:19Z
14.14.3,2024-12-01T16:55:11Z
14.14.2,2024-10-10T12:32:30Z
14.14.1,2024-10-06T15:32:21Z
14.14.0,2024-07-31T18:23:43Z
14.13.0,2024-04-01T17:14:37Z
14.12.0,2024-02-16T23:24:08Z
14.11.2,2024-01-23T22:29:20Z
14.11.1,2024-01-16T21:48:11Z
14.11.0,2023-12-21T17:18:37Z
14.10.1,2023-11-16T21:54:09Z
14.10.0,2023-08-10T18:55:15Z
14.9.0,2023-05-07T17:13:30Z
14.8.2,2023-02-04T19:46:52Z
14.8.1,2022-12-13T21:37:25Z
14.8.0,2022-11-25T18:51:47Z
14.7.1,2022-11-11T22:48:51Z
14.7.0,2022-11-04T18:36:59Z
14.6.0,2022-10-21T17:06:11Z
14.5.2,2022-10-16T14:29:40Z
14.5.1,2022-10-12T19:06:33Z
14.5.0,2022-08-26T19:44:21Z
14.4.5,2022-08-10T18:47:30Z
14.4.4,2022-08-03T16:46:48Z
14.4.3,2022-08-02T18:54:08Z
14.4.2,2022-07-29T17:28:24Z
14.4.1,2022-07-27T18:27:38Z
14.4.0,2022-07-02T15:00:38Z
14.3.1,2022-06-15T20:04:12Z
14.3.0,2022-06-08T20:16:59Z
14.2.1,2022-06-03T20:01:09Z
14.2.0,2022-06-01T19:04:54Z
14.1.2,2022-04-27T20:56:05Z
14.1.1,2022-04-15T22:46:26Z
14.1.0,2022-04-12T21:29:30Z
14.0.0,2022-03-22T22:07:27Z
13.11.4,2021-09-20T13:52:20Z
13.11.3,2021-06-21T20:48:10Z
13.11.2,2021-05-05T19:07:19Z
13.11.1,2021-04-18T18:42:57Z
13.11.0,2021-04-15T19:07:12Z
13.10.6,2021-04-06T00:01:09Z
13.10.5,2021-03-29T20:59:12Z
13.10.4,2021-03-19T19:21:23Z
13.10.3,2021-03-18T16:35:29Z
13.10.2,2021-03-12T22:07:39Z
13.10.1,2021-03-04T16:02:54Z
13.10.0,2021-02-22T22:39:08Z
13.9.3,2021-02-18T18:02:22Z
13.9.2,2021-02-07T18:12:31Z
13.9.1,2021-02-04T18:40:58Z
13.9.0,2021-02-04T02:28:01Z
13.8.0,2020-12-18T19:12:52Z
13.7.0,2020-10-29T20:44:17Z
13.6.0,2020-10-16T13:17:42Z
13.5.0,2020-09-10T20:09:13Z
13.4.0,2020-09-10T15:59:26Z
13.3.2,2020-08-07T15:59:20Z
13.3.1,2020-06-11T23:51:32Z
13.3.0,2020-06-10T19:01:54Z
13.2.0,2020-04-25T17:00:28Z
13.1.1,2020-02-29T18:04:59Z
13.0.0,2020-02-01T20:28:00Z
12.3.0,2020-01-10T20:03:02Z
12.0.0,2019-11-28T16:05:25Z
v10.0.0,2017-04-21T15:13:24Z
v9.1.0,2017-04-04T21:56:28Z
v9.0.0,2017-04-02T22:16:33Z
v7.0.18,2017-02-23T15:34:45Z
v1.1.0,2015-05-29T00:56:12Z
v1.0.0,2015-05-19T01:48:55Z
v0.5.2,2015-05-10T22:25:03Z
v0.4.0,2015-05-03T02:12:12Z
v0.3.9,2015-05-01T04:27:57Z
v0.3.1,2015-02-22T14:48:45Z
