Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
creme,0.9.0,2021-12-01,1,1,1,1,0,0,1,1,0,1
creme,0.10.0,2022-02-04,1,1,1,1,0,0,1,1,0,1
creme,0.11.0,2022-05-28,0,1,1,0,0,0,1,1,0,1
creme,0.11.1,2022-06-06,1,0,1,1,0,0,1,1,1,1
creme,0.12.1,2022-09-02,0,1,1,0,0,0,1,1,0,1
creme,0.13.0,2022-09-19,0,1,1,0,0,0,1,1,0,1
creme,0.14.0,2022-10-27,1,0,1,1,0,0,1,1,0,1
creme,0.15.0,2023-01-30,1,0,1,1,0,1,1,1,0,1
creme,0.16.0,2023-05-10,0,1,1,0,0,0,1,1,0,1
creme,0.17.0,2023-05-27,0,1,1,0,0,0,1,1,0,1
creme,0.18.0,2023-06-27,1,1,1,1,0,0,1,1,0,1
creme,0.19.0,2023-09-03,0,1,1,0,0,0,1,1,0,1
creme,0.20.0,2023-11-09,0,1,1,0,0,0,1,1,0,1
creme,0.21.0,2023-12-05,1,1,1,1,0,0,1,1,0,1
creme,0.21.1,2024-04-23,1,1,1,1,0,0,1,1,0,1
creme,0.21.2,2024-07-09,1,1,1,1,0,0,1,1,0,1
