Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
cuml,v0.6.0.dev0,2019-01-31,0,1,1,0,0,0,1,1,0,1
cuml,v0.5.1,2019-02-07,0,0,1,1,0,0,0,0,1,1
cuml,v0.15.0,2020-09-16,0,1,1,0,0,0,1,1,0,1
cuml,v0.16.0,2020-10-21,0,0,1,0,1,0,0,0,0,1
cuml,v0.17.0,2020-12-10,1,1,1,0,1,0,0,0,0,1
cuml,v0.18.0,2021-02-24,0,1,1,0,0,0,1,1,0,1
cuml,v0.19.0,2021-04-21,0,0,1,0,1,0,0,1,0,1
cuml,v21.06.00,2021-06-09,0,1,1,0,0,0,1,1,0,1
cuml,v21.06.01,2021-06-10,0,1,1,0,0,0,1,1,0,1
cuml,v21.06.02,2021-06-17,0,1,1,0,0,0,1,1,0,1
cuml,v21.08.00,2021-08-04,0,1,1,0,0,0,1,1,0,1
cuml,v21.08.01,2021-08-06,0,1,1,0,0,0,1,1,0,1
cuml,v21.08.02,2021-09-16,0,1,1,0,0,0,1,1,0,1
cuml,v21.10.00,2021-10-06,0,1,1,0,0,0,1,1,0,1
cuml,v21.08.03,2021-11-08,0,1,1,0,0,0,1,1,0,1
cuml,v21.10.01,2021-11-10,0,1,1,0,0,0,1,1,0,1
cuml,v21.10.02,2021-11-12,0,1,1,0,0,0,1,1,0,1
cuml,v21.12.00,2021-12-08,0,1,1,0,1,0,1,0,0,1
cuml,v22.02.00,2022-02-02,1,1,1,0,1,0,1,0,0,1
cuml,v22.04.00,2022-04-06,1,1,1,1,1,0,1,1,0,1
cuml,v22.06.00,2022-06-07,0,1,1,0,0,0,1,1,0,1
cuml,v22.06.01,2022-07-06,0,0,1,1,1,0,0,0,0,1
cuml,v22.08.00,2022-08-17,1,1,1,1,1,0,0,0,0,1
cuml,v22.10.00,2022-10-12,0,1,1,0,0,0,1,1,0,1
cuml,v22.10.01,2022-11-04,0,0,1,1,1,0,0,0,0,1
cuml,v22.12.00,2022-12-08,0,1,1,0,1,0,0,1,0,1
cuml,v23.02.00,2023-02-09,1,1,1,0,1,0,1,1,0,1
cuml,v23.04.00,2023-04-12,0,1,1,0,0,0,1,1,0,1
cuml,v23.06.00,2023-06-07,1,1,1,0,1,0,1,0,0,1
cuml,v23.08.00,2023-08-09,0,1,1,0,0,0,1,1,0,1
cuml,v23.10.00,2023-10-11,0,1,1,0,0,0,1,1,0,1
cuml,v23.12.00,2023-12-06,1,1,1,1,0,0,1,1,0,1
cuml,v24.02.00,2024-02-13,0,1,1,0,0,0,1,1,0,1
cuml,v24.04.00,2024-04-10,1,1,1,0,1,0,1,1,0,1
cuml,v24.06.00,2024-06-05,0,1,1,0,0,0,1,1,0,1
cuml,v24.06.01,2024-06-12,1,1,1,0,0,0,1,0,0,1
cuml,v24.08.00,2024-08-08,1,1,1,1,1,0,1,1,0,1
cuml,v24.10.00,2024-10-09,0,1,1,0,0,0,1,1,0,1
cuml,v24.12.00,2024-12-11,0,1,1,0,0,0,1,1,0,1
cuml,v25.04.00a,2025-02-09,0,1,1,0,0,0,1,1,0,1
