Release,Published_at
2.8.0,2024-04-03T16:21:23Z
2.8.0.pre,2024-04-02T02:09:02Z
2.7.1,2022-12-01T13:22:37Z
2.7.0,2022-11-29T16:32:06Z
2.6.1,2022-01-18T21:26:19Z
2.6.0,2022-01-11T03:23:29Z
2.5.0,2021-03-18T03:08:50Z
2.4.0,2021-01-13T21:19:36Z
2.3.0,2019-10-11T01:49:20Z
2.2.0,2019-03-28T21:47:50Z
2.1.0,2018-07-20T07:52:18Z
2.0.0,2018-03-03T22:20:23Z
1.3.1,2017-11-05T23:27:41Z
1.3.0,2017-10-20T21:02:53Z
1.2.0,2017-07-18T05:34:31Z
1.1.0,2017-05-04T05:54:47Z
0.0.4,2016-01-30T03:32:03Z
0.0.3,2016-01-30T03:23:29Z
0.0.2,2016-01-30T02:11:59Z
0.0.1,2016-01-29T23:08:34Z
