Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
dffml,0.1.0,2019-03-08,0,1,1,0,0,0,1,1,0,1
dffml,0.1.1,2019-03-08,0,1,1,0,0,0,1,1,0,1
dffml,0.1.2,2019-03-29,0,1,1,0,0,0,1,1,0,1
dffml,0.2.0,2019-05-23,0,1,1,0,0,0,0,1,0,1
dffml,0.2.1,2019-06-07,1,0,1,1,0,0,1,0,0,1
dffml,0.3.0,2019-10-26,0,1,1,0,0,0,1,1,0,1
dffml,0.3.1,2019-12-12,0,1,1,0,0,0,1,1,0,1
dffml,0.3.2,2020-01-03,0,1,1,0,0,0,1,1,1,1
dffml,0.3.3,2020-02-11,0,1,1,0,0,0,1,1,0,1
dffml,0.3.4,2020-02-29,0,1,1,0,0,0,1,1,0,1
dffml,0.3.5,2020-03-10,0,1,1,0,0,0,1,1,0,1
dffml,0.3.6,2020-04-04,0,1,1,0,0,0,1,1,0,1
dffml,0.3.7,2020-04-14,0,1,1,1,1,0,0,0,1,1
