Release,Published_at
v2.4.0,2024-09-03T04:16:25Z
v2.3.0,2024-06-28T00:16:49Z
v2.2.1,2024-05-11T02:59:41Z
v2.1.0,2024-03-06T03:29:59Z
v2.0.0,2024-01-12T03:51:43Z
v1.1.3,2023-12-11T09:43:07Z
1.1.2,2023-08-15T07:31:40Z
1.1.1,2023-06-27T03:26:45Z
1.1.0,2023-05-05T08:50:34Z
1.0.2,2023-03-31T09:24:03Z
1.0.1,2023-02-21T07:15:26Z
1.0.0,2023-01-30T07:07:35Z
0.9.1,2022-09-20T07:13:00Z
0.9.0,2022-07-18T15:43:47Z
0.8.2,2022-05-30T15:06:10Z
0.8.1,2022-04-17T05:19:36Z
0.8.0post2,2022-04-03T08:38:32Z
0.8.0post1,2022-03-08T07:51:11Z
0.8.0,2022-03-01T15:45:33Z
0.7.2,2021-11-08T04:09:08Z
0.7.1,2021-08-29T05:35:20Z
v0.7.0,2021-07-22T02:01:12Z
0.6.1,2021-04-08T03:22:48Z
0.6.0post1,2021-03-09T18:23:16Z
v0.6.0,2021-02-26T00:05:08Z
0.5.3,2020-11-30T07:39:12Z
0.5.2,2020-09-14T05:21:24Z
0.5.1,2020-08-30T15:40:38Z
0.5.0,2020-08-21T11:52:04Z
0.4.3.post2,2020-04-07T06:32:36Z
0.4.3,2020-04-02T03:43:38Z
0.4.2,2020-01-23T04:32:44Z
0.4.1,2019-11-05T03:15:33Z
v0.4.0,2019-10-07T09:45:21Z
v0.3.1,2019-08-28T05:46:18Z
v0.3,2019-06-13T09:46:50Z
v0.2,2019-03-08T23:01:02Z
v0.1.3,2018-12-11T22:30:34Z
v0.1.2,2018-12-07T07:50:59Z
