Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
dgl,v0.1.2,2018-12-07,0,1,1,0,0,0,1,1,0,1
dgl,v0.1.3,2018-12-11,0,1,1,0,0,0,1,0,0,1
dgl,v0.2,2019-03-08,0,0,1,1,1,0,0,0,0,1
dgl,v0.3,2019-06-13,1,1,1,1,0,0,1,0,0,1
dgl,v0.3.1,2019-08-28,0,1,1,0,0,0,1,1,0,1
dgl,v0.4.0,2019-10-07,0,1,1,0,0,0,1,1,0,1
dgl,0.4.1,2019-11-05,0,1,1,0,0,0,1,1,0,1
dgl,0.4.2,2020-01-23,0,1,1,0,0,0,1,1,0,1
dgl,0.4.3,2020-04-02,0,1,1,0,0,0,1,1,0,1
dgl,0.4.3.post2,2020-04-07,0,0,1,1,0,0,0,0,1,1
dgl,0.5.0,2020-08-21,0,1,1,0,0,0,1,1,0,1
dgl,0.5.1,2020-08-30,0,1,1,0,0,0,1,1,0,1
dgl,0.5.2,2020-09-14,1,1,1,1,1,0,1,1,0,1
dgl,0.5.3,2020-11-30,0,1,1,0,0,0,0,0,0,1
dgl,v0.6.0,2021-02-26,0,1,1,0,0,0,1,1,0,1
dgl,0.6.0post1,2021-03-09,0,1,1,0,0,0,1,1,0,1
dgl,0.6.1,2021-04-08,0,1,1,1,0,0,0,0,0,1
dgl,v0.7.0,2021-07-22,0,1,1,0,0,0,1,1,0,1
dgl,0.7.1,2021-08-29,1,1,1,1,1,0,1,1,0,1
dgl,0.7.2,2021-11-08,0,0,1,1,0,0,0,0,0,1
dgl,0.8.0,2022-03-01,0,1,1,0,0,0,1,1,0,1
dgl,0.8.0post1,2022-03-08,0,1,1,0,0,0,1,1,0,1
dgl,0.8.0post2,2022-04-03,0,1,1,0,0,0,1,1,0,1
dgl,0.8.1,2022-04-17,0,0,1,0,1,0,1,1,0,1
dgl,0.8.2,2022-05-30,0,0,1,0,1,0,0,0,0,1
dgl,0.9.0,2022-07-18,1,0,1,0,0,0,0,1,0,1
dgl,0.9.1,2022-09-20,0,0,1,1,0,0,0,0,1,1
dgl,1.0.0,2023-01-30,0,1,1,0,0,0,1,1,0,1
dgl,1.0.1,2023-02-21,0,1,1,0,0,0,1,1,0,1
dgl,1.0.2,2023-03-31,0,1,1,0,0,0,1,1,0,1
dgl,1.1.0,2023-05-05,0,0,1,0,0,0,0,1,0,1
dgl,1.1.1,2023-06-27,0,0,1,0,1,0,0,0,0,1
dgl,1.1.2,2023-08-15,0,0,1,1,1,0,0,1,1,1
dgl,v1.1.3,2023-12-11,0,1,1,0,0,0,1,1,1,1
dgl,v2.0.0,2024-01-12,0,1,1,0,0,0,1,1,0,1
dgl,v2.1.0,2024-03-06,0,1,1,0,0,0,1,1,0,1
dgl,v2.2.1,2024-05-11,0,1,1,0,0,0,1,1,0,1
dgl,v2.3.0,2024-06-28,0,1,1,0,0,0,1,1,1,1
