Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
dldt,2019_R1.1,2019-05-27,0,1,1,0,0,0,0,1,0,1
dldt,2019_R2,2019-08-09,0,1,1,0,0,0,1,1,0,1
dldt,2019_R3,2019-10-09,0,1,1,0,0,0,1,1,0,1
dldt,2019_R3.1,2019-10-28,0,1,1,0,0,0,1,1,0,1
dldt,2020.1,2020-02-12,0,1,1,0,0,0,0,1,0,1
dldt,2020.2,2020-04-13,0,1,1,0,0,0,1,1,0,1
dldt,2020.3.0,2020-06-03,0,0,1,0,0,0,0,1,0,1
dldt,2020.4,2020-07-14,0,0,1,0,0,0,0,0,0,1
dldt,2021.1,2020-10-06,0,1,1,0,0,0,1,1,0,1
dldt,2020.3.1,2020-11-12,0,1,1,0,0,0,1,1,0,1
dldt,2021.2,2020-12-15,0,0,1,0,0,0,0,0,0,1
dldt,2021.3,2021-03-23,0,1,1,0,0,0,1,1,0,1
dldt,2020.3.2,2021-04-16,0,0,1,0,0,0,0,0,0,1
dldt,2021.4,2021-06-29,0,1,1,0,0,0,0,1,0,1
dldt,2021.4.1,2021-09-09,0,0,1,0,0,0,0,1,0,1
dldt,2021.4.2,2021-11-16,0,1,1,0,0,0,0,0,1,1
dldt,2022.1.0.dev20220131,2022-02-01,0,1,1,0,0,0,1,1,0,1
dldt,2022.1.0.dev20220215,2022-02-17,0,1,1,0,0,0,1,1,0,1
dldt,2022.1.0.dev20220302,2022-03-04,0,1,1,0,0,0,1,1,0,1
dldt,2022.1.0.dev20220316,2022-03-16,0,1,1,0,0,0,1,1,0,1
dldt,2022.1.0,2022-03-22,0,0,1,1,0,0,0,1,0,1
dldt,2022.1.1,2022-08-11,0,1,1,0,0,0,1,1,0,1
dldt,2022.2.0.dev20220829,2022-08-31,0,1,1,0,0,0,1,1,0,1
dldt,2022.2.0,2022-09-22,0,0,1,0,0,0,0,0,0,1
dldt,2022.3.0.dev20221103,2022-11-15,0,1,1,0,0,0,1,1,0,1
dldt,2022.3.0.dev20221125,2022-11-29,0,1,1,0,0,0,1,1,0,1
dldt,2022.3.0,2022-12-21,0,1,1,0,0,0,1,1,0,1
dldt,2023.0.0.dev20230119,2023-01-25,0,1,1,0,0,0,1,1,1,1
dldt,2023.0.0.dev20230217,2023-02-23,0,0,1,0,0,0,0,0,0,1
dldt,2023.0.0.dev20230407,2023-04-12,0,1,1,0,0,0,1,1,1,1
dldt,2023.0.0.dev20230427,2023-05-04,0,1,1,0,0,0,1,1,0,1
dldt,2023.0.0,2023-06-01,0,1,1,0,0,0,1,1,0,1
dldt,2022.3.1,2023-06-20,0,1,1,0,0,0,1,1,0,1
dldt,2023.1.0.dev20230623,2023-06-28,0,1,1,0,0,0,1,1,0,1
dldt,2023.0.1,2023-07-03,0,1,1,0,0,0,1,1,1,1
dldt,2023.1.0.dev20230728,2023-08-02,0,1,1,0,0,0,1,1,0,1
dldt,2023.1.0.dev20230811,2023-08-17,0,1,1,0,0,0,1,1,0,1
dldt,2023.0.2,2023-09-04,0,1,1,0,0,0,1,1,0,1
dldt,2023.1.0,2023-09-18,0,1,1,0,0,0,1,1,0,1
dldt,2023.2.0.dev20230922,2023-09-27,0,0,1,0,0,0,1,0,1,1
dldt,2023.2.0,2023-11-16,0,1,1,0,0,0,0,0,0,1
dldt,2023.3.0,2024-01-24,0,0,1,0,0,0,1,0,1,1
dldt,2024.0.0,2024-03-06,0,0,1,0,0,0,0,0,0,1
dldt,2024.1.0,2024-04-25,0,1,1,0,0,0,1,1,0,1
dldt,2022.3.2,2024-05-06,0,1,1,0,0,0,1,1,0,1
dldt,2024.2.0,2024-06-17,0,0,1,0,0,0,0,0,0,1
dldt,2024.3.0,2024-07-31,0,0,1,0,0,0,1,0,0,1
dldt,2024.4.0,2024-09-19,0,1,1,0,0,0,0,0,0,1
dldt,2024.5.0,2024-11-20,0,1,1,0,0,0,1,1,0,1
dldt,2024.6.0,2024-12-19,0,0,1,0,0,0,0,1,0,1
