Release,published_at
1.0.26: Upgrade to MuJoCo 3.2.6,2024-12-06T18:03:46Z
1.0.25: Upgrade to MuJoCo 3.2.5,2024-11-05T18:39:22Z
1.0.24,2024-10-23T13:34:43Z
1.0.23,2024-10-04T09:55:38Z
1.0.22: Upgrade to MuJoCo 3.2.1,2024-08-07T15:44:06Z
1.0.21: Upgrade to MuJoCo 3.2.0,2024-07-29T17:32:24Z
1.0.20: Upgrade to MuJoCo 3.1.6,2024-06-04T17:45:31Z
1.0.19: Upgrade to MuJoCo 3.1.5,2024-05-08T09:41:25Z
1.0.18: Upgrade to MuJoCo 3.1.4,2024-04-12T13:20:41Z
1.0.17: Upgrade to MuJoCo 3.1.3,2024-03-29T09:17:04Z
1.0.16: Upgrade to MuJoCo 3.1.1,2023-12-20T12:21:44Z
1.0.15: Upgrade to MuJoCo 3.0.0,2023-10-18T16:13:08Z
1.0.14: Upgrade to MuJoCo 2.3.7,2023-07-20T12:03:39Z
1.0.13: Upgrade to MuJoCo 2.3.6,2023-06-20T19:18:52Z
1.0.12: Upgrade to MuJoCo 2.3.4,2023-04-20T17:42:55Z
1.0.11: Upgrade to MuJoCo 2.3.3,2023-03-22T16:46:09Z
1.0.10: Upgrade to MuJoCo 2.3.2,2023-02-07T18:09:23Z
1.0.9: Upgrade to MuJoCo 2.3.1,2022-12-09T13:21:15Z
1.0.8: Upgrade to MuJoCo 2.3.0,2022-10-18T17:15:15Z
1.0.7: Fix viewer bug,2022-09-07T17:18:05Z
1.0.6: Fix rendering bugs and upgrade to MuJoCo 2.2.2,2022-09-07T12:33:40Z
1.0.5: Speed up warning checks,2022-08-04T12:23:25Z
,2022-07-18T11:38:50Z
,2022-05-23T13:11:56Z
1.0.3,2022-05-23T12:36:30Z
1.0.2,2022-04-13T18:24:57Z
1.0.1,2022-04-13T18:24:47Z
1.0.0,2022-04-13T18:24:36Z
