Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
doccano,v1.0.0,2019-11-15,0,1,1,0,0,0,1,1,0,1
doccano,v1.0.1,2019-11-22,0,1,1,0,0,0,1,1,0,1
doccano,v1.0.2,2019-11-29,0,1,1,1,0,0,1,1,0,1
doccano,v1.0.3,2020-03-31,0,1,1,0,0,0,1,1,0,1
doccano,v1.0.4,2020-04-06,0,0,1,1,0,0,0,0,0,1
doccano,v1.0.5,2020-07-22,0,0,1,1,0,0,0,1,0,1
doccano,v1.1.0,2021-01-26,0,1,1,0,0,0,1,1,0,1
doccano,v1.1.1,2021-01-27,0,1,1,0,0,0,1,1,0,1
doccano,v1.2.0,2021-02-19,0,1,1,0,0,0,1,1,1,1
doccano,v1.2.1,2021-02-19,0,1,1,0,0,0,1,1,1,1
doccano,v1.2.2,2021-03-16,0,1,1,0,0,0,1,1,0,1
doccano,v1.2.3,2021-03-30,0,1,1,0,0,0,1,1,1,1
doccano,v1.2.4,2021-03-30,0,1,1,0,0,0,1,1,1,1
doccano,v1.3.0,2021-04-21,0,1,1,0,0,0,1,1,0,1
doccano,v1.3.1,2021-04-26,0,1,1,0,0,0,1,1,0,1
doccano,v1.4.0,2021-05-18,0,1,1,0,0,0,1,1,0,1
doccano,v1.4.1,2021-05-25,1,0,1,1,0,0,0,1,0,1
doccano,v1.5.0,2021-10-25,0,1,1,0,0,0,1,1,0,1
doccano,v1.5.1,2021-11-05,0,1,1,0,0,0,1,1,0,1
doccano,v1.5.2,2021-11-09,0,1,1,0,0,0,1,1,0,1
doccano,v1.5.3,2021-11-30,0,1,1,0,0,0,1,1,0,1
doccano,v1.5.4,2021-12-01,0,1,1,0,0,0,1,1,0,1
doccano,v1.5.5,2021-12-03,0,1,1,0,0,0,1,1,1,1
doccano,v1.6.0,2022-03-11,0,1,1,0,0,0,0,1,0,1
doccano,v1.6.1,2022-03-14,0,1,1,0,0,0,1,1,0,1
doccano,v1.6.2,2022-03-14,0,1,1,0,0,0,1,1,0,1
doccano,v1.7.0,2022-05-19,0,1,1,0,0,0,1,1,0,1
doccano,v1.8.0,2022-07-11,0,1,1,1,0,0,1,1,0,1
doccano,v1.8.1,2022-11-28,0,1,1,0,0,0,0,1,0,1
doccano,v1.8.2,2022-11-29,0,1,1,0,0,0,1,1,0,1
doccano,v1.8.3,2022-12-08,1,0,1,1,0,0,0,1,0,1
