Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
dowhy,v0.1.1-alpha,2019-07-15,1,0,0,1,0,1,0,1,0,0
dowhy,v0.2,2020-01-08,0,1,1,0,0,0,1,1,0,1
dowhy,v0.4,2020-05-11,1,1,1,1,0,1,1,1,0,1
dowhy,v0.5,2020-11-21,0,1,1,0,0,0,1,1,0,1
dowhy,v0.5.1,2020-12-12,0,1,1,1,0,0,1,1,0,1
dowhy,v0.6,2021-03-03,1,1,1,1,0,0,1,1,0,1
dowhy,v0.7,2022-01-10,0,1,1,0,0,0,1,1,0,1
dowhy,v0.7.1,2022-03-20,1,0,1,1,0,0,0,1,0,1
dowhy,v0.8,2022-07-18,0,0,1,1,0,0,0,0,0,0
dowhy,v0.9,2022-12-06,0,1,1,0,0,0,1,1,0,1
dowhy,v0.9.1,2022-12-17,1,1,1,1,0,0,1,1,0,1
dowhy,v0.10,2023-07-30,0,1,0,1,0,0,1,1,0,1
dowhy,v0.10.1,2023-09-05,0,1,1,1,0,0,1,1,0,1
dowhy,v0.11,2023-12-06,0,1,1,0,0,0,1,1,0,1
dowhy,v0.11.1,2023-12-25,1,1,1,1,0,1,1,1,0,1
