Release,Published_at
v.202503,2025-03-27T15:18:36Z
v.202412,2024-12-04T04:40:05Z
v.202409,2024-10-01T06:28:01Z
v.202402,2024-02-06T03:28:17Z
v.202310,2023-10-25T11:52:03Z
v.202308,2023-08-03T13:36:23Z
v.202304,2023-05-01T12:53:04Z
v.202301,2023-02-01T10:50:13Z
v.202211,2022-12-11T23:52:00Z
v.202209,2022-10-04T11:22:26Z
v.202207,2022-08-02T01:00:13Z
v.202205,2022-05-28T02:21:05Z
v.202204,2022-04-12T04:36:08Z
v.0.10.6,2022-02-08T12:39:15Z
v.0.10.5,2021-12-31T14:15:33Z
v.0.10.4,2021-11-10T08:24:03Z
v.0.10.3,2021-10-11T12:37:54Z
v.0.10.2,2021-09-01T01:07:20Z
v.0.10.1,2021-08-12T13:08:13Z
v.0.10.0,2021-06-22T01:03:09Z
v.0.9.10,2021-05-29T06:31:04Z
v.0.9.9,2021-04-07T04:51:48Z
v.0.9.8,2021-03-01T10:13:23Z
v.0.9.7,2021-01-15T08:51:50Z
v.0.9.6,2020-12-01T12:17:50Z
v.0.9.5,2020-10-31T12:28:24Z
v.0.9.4,2020-09-30T11:04:49Z
v.0.9.3,2020-09-15T04:28:00Z
v.0.9.2,2020-08-31T06:05:09Z
v.0.9.1,2020-08-15T07:34:34Z
v.0.9.0,2020-08-01T02:10:14Z
v.0.8.0,2020-06-16T06:33:34Z
v.0.7.0,2020-05-24T07:01:16Z
v.0.6.3,2020-04-07T09:55:06Z
v.0.6.2,2020-02-25T13:44:45Z
v.0.6.1,2020-01-05T09:44:07Z
v.0.6.0,2019-11-21T08:17:28Z
v.0.5.4,2019-10-30T01:46:07Z
v.0.5.3,2019-09-23T13:34:10Z
v.0.5.2,2019-08-27T14:12:23Z
v.0.5.1,2019-08-13T02:39:25Z
v.0.5.0,2019-08-02T05:35:17Z
v.0.4.3,2019-08-01T02:23:04Z
v.0.4.2,2019-07-23T09:04:50Z
v.0.4.1,2019-07-03T11:41:09Z
v.0.4.0,2019-06-15T02:22:46Z
v.0.3.1,2019-03-16T04:38:46Z
v.0.3.0-beta,2019-02-16T03:02:38Z
v.0.2.0,2018-08-30T01:09:26Z
v.0.1.5,2018-08-24T13:26:12Z
v.0.1.4,2018-08-24T02:42:28Z
v.0.1.3,2018-06-20T12:35:42Z
v.0.1.2,2018-06-12T23:55:04Z
v.0.1.1,2018-06-12T14:28:24Z
v.0.1.0,2018-05-29T23:46:36Z
