Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
espnet,v.0.1.0,2018-05-29,0,1,1,0,0,0,1,1,0,1
espnet,v.0.1.1,2018-06-12,0,1,1,0,0,0,1,1,0,1
espnet,v.0.1.2,2018-06-12,0,1,1,0,0,0,1,1,0,1
espnet,v.0.1.3,2018-06-20,0,0,1,1,0,0,0,0,1,1
espnet,v.0.1.4,2018-08-24,0,1,1,0,0,0,1,1,0,1
espnet,v.0.1.5,2018-08-24,0,1,1,0,0,0,1,1,0,1
espnet,v.0.2.0,2018-08-30,0,0,1,1,1,0,0,0,1,1
espnet,v.0.3.0-beta,2019-02-16,0,1,1,0,0,0,1,1,1,1
espnet,v.0.3.1,2019-03-16,0,1,1,0,1,0,0,0,1,1
espnet,v.0.4.0,2019-06-15,0,1,1,0,0,0,1,1,1,1
espnet,v.0.4.1,2019-07-03,0,1,1,0,0,0,1,1,0,1
espnet,v.0.4.2,2019-07-23,0,1,1,0,0,0,1,1,1,1
espnet,v.0.4.3,2019-08-01,0,1,1,0,0,0,1,1,0,1
espnet,v.0.5.0,2019-08-02,0,1,1,0,0,0,1,1,1,1
espnet,v.0.5.1,2019-08-13,0,1,1,0,0,0,1,1,1,1
espnet,v.0.5.2,2019-08-27,0,1,1,0,0,0,1,1,1,1
espnet,v.0.5.3,2019-09-23,0,1,1,0,0,0,1,1,1,1
espnet,v.0.5.4,2019-10-30,0,1,1,0,0,0,1,1,0,1
espnet,v.0.6.0,2019-11-21,0,1,1,0,0,0,1,1,1,1
espnet,v.0.6.1,2020-01-05,0,1,1,0,0,0,1,1,1,1
espnet,v.0.6.2,2020-02-25,0,0,1,0,1,0,0,0,1,1
espnet,v.0.6.3,2020-04-07,0,0,1,0,1,0,0,1,0,1
espnet,v.0.7.0,2020-05-24,0,1,1,0,0,0,1,1,1,1
espnet,v.0.8.0,2020-06-16,0,1,1,0,0,0,1,1,1,1
espnet,v.0.9.0,2020-08-01,0,1,1,0,0,0,1,1,0,1
espnet,v.0.9.1,2020-08-15,0,1,1,0,0,0,1,1,0,1
espnet,v.0.9.2,2020-08-31,0,1,1,0,0,0,1,1,0,1
espnet,v.0.9.3,2020-09-15,0,1,1,0,0,0,1,1,0,1
espnet,v.0.9.4,2020-09-30,0,1,1,0,0,0,1,1,0,1
espnet,v.0.9.5,2020-10-31,0,1,1,0,0,0,1,1,0,1
espnet,v.0.9.6,2020-12-01,0,1,1,0,0,0,1,1,1,1
espnet,v.0.9.7,2021-01-15,0,1,1,0,0,0,1,1,1,1
espnet,v.0.9.8,2021-03-01,0,1,1,0,0,0,1,1,0,1
espnet,v.0.9.9,2021-04-07,0,0,1,0,1,0,0,1,0,1
espnet,v.0.9.10,2021-05-29,0,1,1,0,0,0,1,1,0,1
espnet,v.0.10.0,2021-06-22,0,0,1,0,1,0,0,0,1,1
espnet,v.0.10.1,2021-08-12,0,1,1,0,0,0,1,1,1,1
espnet,v.0.10.2,2021-09-01,0,1,1,0,0,0,1,1,1,1
espnet,v.0.10.3,2021-10-11,0,1,1,0,0,0,1,1,1,1
espnet,v.0.10.4,2021-11-10,0,0,1,0,0,0,0,0,1,1
espnet,v.0.10.5,2021-12-31,0,1,1,0,0,0,1,1,0,1
espnet,v.0.10.6,2022-02-08,0,0,1,0,0,0,0,0,1,1
espnet,v.202204,2022-04-12,0,1,1,0,0,0,1,1,1,1
espnet,v.202205,2022-05-28,0,1,1,0,0,0,0,0,1,1
espnet,v.202207,2022-08-02,0,0,1,0,0,0,0,0,1,1
espnet,v.202209,2022-10-04,0,0,1,0,0,0,0,0,1,1
espnet,v.202211,2022-12-11,0,0,1,0,0,0,0,0,1,1
espnet,v.202301,2023-02-01,0,0,1,1,1,0,0,0,1,1
espnet,v.202304,2023-05-01,0,0,1,1,0,0,0,0,1,1
espnet,v.202308,2023-08-03,0,0,1,1,0,0,0,0,1,1
espnet,v.202310,2023-10-25,0,0,1,1,0,0,0,0,1,1
espnet,v.202402,2024-02-06,0,0,1,1,0,0,0,0,1,1
espnet,v.202409,2024-10-01,0,1,1,0,1,0,0,0,0,1
espnet,v.202412,2024-12-04,0,0,1,1,0,0,0,0,1,1
