Release,Published_at
4.0.1,2025-02-26T19:40:14Z
4.0.0,2024-08-14T21:06:33Z
4.0.0rc1,2024-07-12T15:46:54Z
4.0.0rc0,2024-05-23T13:17:51Z
3.0.0,2023-11-09T12:58:36Z
2.4.0a0,2023-08-16T12:43:41Z
2.3.1,2023-04-12T12:55:38Z
2.3.0,2023-03-28T15:00:25Z
2.3.0rc0,2023-03-28T13:09:02Z
2.2.1,2022-09-06T18:51:44Z
2.2.0,2022-08-25T21:11:46Z
2.1.0,2022-07-27T13:37:41Z
2.0.0,2021-12-30T01:17:53Z
1.24.0,2021-12-06T18:25:50Z
1.23.0,2021-10-29T18:25:59Z
1.22.2,2021-09-01T20:32:31Z
1.22.0,2021-02-09T17:03:17Z
1.21.0,2020-10-02T15:10:26Z
1.20.0,2020-07-13T21:16:20Z
1.19.1,2020-07-13T20:33:47Z
1.19.0,2020-06-17T22:48:27Z
1.18.0,2020-05-08T21:13:53Z
1.17.0,2020-02-28T18:31:45Z
1.16.0,2019-10-07T20:16:06Z
1.15.1,2019-08-16T13:57:59Z
1.15.0,2019-08-12T11:32:50Z
1.14.2,2019-08-02T14:06:46Z
1.13.5,2019-08-02T14:05:56Z
1.14.1,2019-05-29T21:24:04Z
1.13.4,2019-05-29T21:24:40Z
1.14.0,2019-04-30T21:38:44Z
1.13.3,2019-04-24T19:46:52Z
1.13.2,2019-04-22T19:34:24Z
