Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
fklearn,1.13.2,2019-04-22,0,1,1,0,0,0,1,1,0,1
fklearn,1.13.3,2019-04-24,0,1,1,0,0,0,1,1,0,1
fklearn,1.14.0,2019-04-30,0,1,1,0,0,0,1,1,0,1
fklearn,1.13.4,2019-05-29,1,1,1,1,0,0,1,1,0,1
fklearn,1.14.1,2019-05-29,1,1,1,1,0,0,1,1,0,1
fklearn,1.15.0,2019-08-12,0,1,1,0,0,0,0,1,0,1
fklearn,1.15.1,2019-08-16,0,1,1,0,0,0,1,1,0,1
fklearn,1.16.0,2019-10-07,1,1,1,0,0,1,0,1,0,1
fklearn,1.17.0,2020-02-28,1,1,1,1,0,0,1,1,0,1
fklearn,1.18.0,2020-05-08,0,1,1,0,0,0,1,1,0,1
fklearn,1.19.0,2020-06-17,0,1,1,0,0,0,1,1,0,1
fklearn,1.19.1,2020-07-13,0,1,1,0,0,0,1,1,0,1
fklearn,1.20.0,2020-07-13,0,1,1,0,0,0,1,1,0,1
fklearn,1.21.0,2020-10-02,1,1,1,0,0,1,0,1,0,1
fklearn,1.22.0,2021-02-09,0,1,1,0,0,0,1,1,0,1
fklearn,1.22.2,2021-09-01,0,1,1,0,0,0,1,1,0,1
fklearn,1.23.0,2021-10-29,0,1,1,0,0,0,1,1,0,1
fklearn,1.24.0,2021-12-06,0,1,1,0,0,0,1,1,0,1
fklearn,2.0.0,2021-12-30,1,1,1,0,0,1,0,1,0,1
fklearn,2.1.0,2022-07-27,0,1,1,0,0,0,0,1,0,1
fklearn,2.2.0,2022-08-25,0,1,1,0,0,0,1,1,0,1
fklearn,2.2.1,2022-09-06,0,1,1,1,0,1,1,1,0,1
fklearn,2.3.0rc0,2023-03-28,0,1,1,0,0,0,0,1,0,1
fklearn,2.3.0,2023-03-28,0,1,1,0,0,0,0,1,0,1
fklearn,2.4.0a0,2023-08-16,0,1,1,0,0,0,1,1,0,1
fklearn,4.0.0,2024-08-14,0,1,1,0,0,0,0,1,0,1
