Release,Published_at
v0.15.1,2025-02-05T14:46:22Z
v0.15.0,2024-12-20T08:57:44Z
v0.14.0,2024-07-25T12:21:58Z
v0.13.1,2023-12-18T09:29:22Z
v0.13.0,2023-10-28T12:19:55Z
v0.12.2,2023-03-30T15:49:56Z
v0.12.1,2023-03-10T15:32:35Z
v0.12,2023-03-06T10:17:28Z
v0.11,2022-04-10T20:35:57Z
v0.10,2021-11-18T08:33:59Z
v0.9,2021-08-29T23:23:01Z
v0.8,2021-03-05T11:57:03Z
v0.7,2020-12-01T19:35:00Z
v0.6.1,2020-09-23T10:40:31Z
v0.6,2020-08-17T13:34:00Z
v0.5.1,2020-07-05T21:39:00Z
v0.5,2020-05-24T12:00:55Z
v0.4.5,2020-01-24T16:08:32Z
v0.4.4,2019-10-20T22:22:35Z
v0.4.3,2019-08-26T18:26:09Z
v0.4.2,2019-05-30T20:31:09Z
v0.4.1,2019-02-22T13:36:48Z
v0.4.0,2018-12-19T19:42:44Z
v0.3.2,2018-11-12T17:01:50Z
v0.3.1,2018-10-19T15:44:44Z
v0.3.0,2018-10-16T14:41:28Z
v0.2.0,2018-08-03T16:25:27Z
v0.1.0,2018-07-13T13:58:33Z
