Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
flair,v0.1.0,2018-07-13,0,1,1,0,0,0,1,1,0,1
flair,v0.2.0,2018-08-03,0,1,1,0,0,0,1,1,1,1
flair,v0.3.0,2018-10-16,0,1,1,0,0,0,1,1,0,1
flair,v0.3.1,2018-10-19,0,1,1,0,0,0,1,1,0,1
flair,v0.3.2,2018-11-12,0,1,0,0,0,0,1,1,0,1
flair,v0.4.0,2018-12-19,0,0,1,1,0,0,0,1,0,0
flair,v0.4.1,2019-02-22,0,0,1,1,0,0,0,1,0,0
flair,v0.4.2,2019-05-30,0,0,1,1,0,0,0,1,0,0
flair,v0.4.3,2019-08-26,0,0,1,1,0,0,0,1,1,0
flair,v0.4.4,2019-10-20,1,1,1,1,0,0,0,0,0,1
flair,v0.4.5,2020-01-24,0,0,0,1,1,0,0,1,1,0
flair,v0.5,2020-05-24,0,1,1,0,0,0,1,1,0,1
flair,v0.5.1,2020-07-05,0,1,1,0,0,0,1,1,0,1
flair,v0.6,2020-08-17,0,1,1,0,0,0,1,1,0,1
flair,v0.6.1,2020-09-23,0,0,1,1,0,0,0,1,1,0
flair,v0.7,2020-12-01,0,0,1,1,0,0,0,1,1,0
flair,v0.8,2021-03-05,0,0,1,1,0,0,0,1,1,0
flair,v0.9,2021-08-29,0,0,1,1,0,0,0,1,1,0
flair,v0.10,2021-11-18,0,0,1,1,0,0,0,0,1,0
flair,v0.11,2022-04-10,0,0,1,1,0,0,0,1,1,0
flair,v0.12,2023-03-06,0,1,1,0,0,0,1,1,0,1
flair,v0.12.1,2023-03-10,0,1,1,0,0,0,1,1,0,1
flair,v0.12.2,2023-03-30,0,0,1,1,0,0,0,1,1,0
flair,v0.13.0,2023-10-28,0,1,1,1,0,0,1,1,0,1
flair,v0.13.1,2023-12-18,0,0,1,1,0,0,0,1,1,0
flair,v0.14.0,2024-07-25,0,0,1,1,0,0,0,1,1,0
flair,v0.15.0,2024-12-20,0,1,1,0,0,0,1,1,0,1
