Release,Published_at
4.3.2,2023-08-24T08:44:46Z
4.3.0,2022-12-21T00:42:57Z
4.2.0,2022-05-01T08:38:45Z
4.1.2,2021-09-18T14:21:47Z
4.1.1,2021-09-14T13:49:30Z
4.1.0,2021-08-29T22:28:49Z
4.0.1,2021-04-01T14:19:26Z
4.0.0,2021-03-25T13:42:33Z
4.0.0.rc1,2021-03-22T09:16:25Z
4.0.0beta,2020-11-01T13:33:05Z
3.8.3,2020-05-04T05:55:15Z
3.8.2,2020-04-12T00:17:30Z
3.8.1,2019-09-26T05:35:28Z
3.8.0,2019-07-09T07:51:06Z
3.7.3,2019-05-08T03:07:49Z
3.7.2,2019-04-10T14:22:33Z
3.7.1,2019-01-31T17:00:11Z
3.7.0,2019-01-18T20:16:12Z
3.6.0,2018-09-20T18:34:40Z
3.5.0,2018-07-06T13:57:44Z
3.4.0,2018-03-01T10:34:38Z
3.3.0,2018-02-02T13:50:11Z
3.2.0,2017-12-09T19:19:21Z
3.1.0,2017-11-06T16:56:05Z
3.0.1,2017-10-12T10:11:01Z
3.0.0,2017-09-27T09:00:16Z
2.3.0,2017-07-25T14:11:28Z
2.2.0,2017-06-21T17:05:02Z
2.1.0,2017-05-12T11:49:27Z
2.0.0,2017-04-10T23:45:51Z
1.0.1,2017-03-04T00:29:48Z
1.0.0,2017-02-24T22:50:59Z
1.0.0rc2,2017-02-17T00:06:12Z
0.13.4.1,2017-01-04T02:00:44Z
0.13.4,2016-12-25T12:08:27Z
0.13.3,2016-10-21T13:01:26Z
0.13.2,2016-08-26T15:32:42Z
0.13.1,2016-06-23T00:19:01Z
0.13.0,2016-06-22T03:33:44Z
0.13.0rc1,2016-06-10T04:32:39Z
0.12.4,2016-01-31T10:00:08Z
0.12.3,2015-11-06T14:40:06Z
0.12.3rc1,2015-11-05T19:13:08Z
