Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
gensim,0.12.3rc1,2015-11-05,0,1,1,0,0,0,0,1,0,1
gensim,0.12.3,2015-11-06,1,0,1,1,0,0,0,1,0,1
gensim,0.12.4,2016-01-31,1,0,1,1,1,0,1,1,0,1
gensim,0.13.0rc1,2016-06-10,0,1,1,0,0,0,1,1,0,1
gensim,0.13.0,2016-06-22,0,1,1,0,0,0,1,1,0,1
gensim,0.13.1,2016-06-23,1,1,1,1,0,0,1,0,0,1
gensim,0.13.2,2016-08-26,0,1,1,0,0,0,1,1,0,1
gensim,0.13.3,2016-10-21,1,1,1,1,0,0,1,0,0,1
gensim,0.13.4,2016-12-25,0,1,1,0,0,0,1,1,0,1
gensim,0.13.4.1,2017-01-04,0,1,1,0,0,0,1,1,0,1
gensim,1.0.0rc2,2017-02-17,0,1,1,0,0,0,1,1,0,1
gensim,1.0.0,2017-02-24,0,1,1,0,0,0,1,1,0,1
gensim,1.0.1,2017-03-04,0,1,1,0,0,0,1,1,0,1
gensim,2.0.0,2017-04-10,0,1,1,0,0,0,1,1,0,1
gensim,2.1.0,2017-05-12,0,1,1,0,0,0,1,1,0,1
gensim,2.2.0,2017-06-21,0,1,1,0,0,0,1,1,0,1
gensim,2.3.0,2017-07-25,1,1,1,0,0,0,1,1,0,1
gensim,3.0.0,2017-09-27,0,1,1,0,0,0,1,1,0,1
gensim,3.0.1,2017-10-12,0,1,1,0,0,0,1,1,0,1
gensim,3.1.0,2017-11-06,0,1,1,0,0,0,1,1,0,1
gensim,3.2.0,2017-12-09,1,1,1,0,1,0,1,0,0,1
gensim,3.3.0,2018-02-02,0,1,1,0,0,0,1,1,0,1
gensim,3.4.0,2018-03-01,0,1,1,1,1,0,1,1,0,1
gensim,3.5.0,2018-07-06,0,1,1,1,1,0,1,1,0,1
gensim,3.6.0,2018-09-20,1,1,1,1,1,0,1,0,0,1
gensim,3.7.0,2019-01-18,0,1,1,0,0,0,1,1,0,1
gensim,3.7.1,2019-01-31,0,1,1,0,0,0,1,1,0,1
gensim,3.7.2,2019-04-10,0,1,1,0,0,0,1,1,0,1
gensim,3.7.3,2019-05-08,1,1,1,1,0,0,1,0,0,1
gensim,3.8.0,2019-07-09,0,1,1,0,0,0,1,1,0,1
gensim,3.8.1,2019-09-26,1,1,1,1,0,1,1,1,0,1
gensim,3.8.2,2020-04-12,0,1,1,0,0,0,1,1,0,1
gensim,3.8.3,2020-05-04,1,0,1,1,0,0,0,1,0,1
gensim,4.0.0beta,2020-11-01,1,1,1,1,0,0,1,1,0,1
gensim,4.0.0.rc1,2021-03-22,0,1,1,0,0,0,1,1,0,1
gensim,4.0.0,2021-03-25,0,1,1,0,0,0,1,1,0,1
gensim,4.0.1,2021-04-01,1,1,1,1,1,0,0,0,0,1
gensim,4.1.0,2021-08-29,0,1,1,0,0,0,0,1,0,1
gensim,4.1.1,2021-09-14,0,1,1,0,0,0,1,1,0,1
gensim,4.1.2,2021-09-18,1,1,1,1,1,0,1,0,0,1
gensim,4.2.0,2022-05-01,0,1,1,1,0,0,1,1,0,1
gensim,4.3.0,2022-12-21,1,1,1,1,0,0,1,1,0,1
