Release,Published_at
2.8.0,2024-09-09T17:46:06Z
2.7.0,2023-08-30T05:36:10Z
2.6.0,2023-06-28T08:13:55Z
2.5.0,2022-04-22T22:08:06Z
v2.4.1,2022-01-28T02:25:39Z
2.3.1,2021-10-08T23:10:50Z
2.2.3,2021-03-20T00:52:09Z
v2.2.2,2021-03-09T02:42:15Z
2.2.1,2021-02-10T21:10:06Z
v2.2.0,2020-06-29T20:59:18Z
v2.1.0,2020-05-26T19:43:21Z
v1.17,2020-03-31T18:24:16Z
jmlr,2018-12-31T16:49:06Z
v1.14,2018-11-30T21:45:25Z
v1.12,2018-09-18T16:44:09Z
v1.10,2018-08-14T17:28:26Z
v1.7,2018-05-17T21:35:14Z
v1.6,2018-04-27T19:02:29Z
v1.5,2018-04-04T22:40:38Z
v1.4,2018-03-08T18:52:31Z
v1.3,2018-03-04T10:28:35Z
v1.2,2018-02-13T13:04:15Z
v1.1,2018-02-13T12:50:19Z
