Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
geomstats,v1.1,2018-02-13,0,1,1,0,0,0,1,1,0,1
geomstats,v1.2,2018-02-13,0,1,1,0,0,0,1,1,0,1
geomstats,v1.3,2018-03-04,0,1,1,0,0,0,1,1,0,1
geomstats,v1.4,2018-03-08,0,1,1,0,0,0,1,1,0,1
geomstats,v1.5,2018-04-04,0,1,1,0,0,0,1,1,0,1
geomstats,v1.6,2018-04-27,0,1,1,0,0,0,1,1,1,1
geomstats,v1.7,2018-05-17,0,1,1,0,0,0,1,1,0,1
geomstats,v1.10,2018-08-14,0,1,1,0,0,0,1,1,0,1
geomstats,v1.12,2018-09-18,0,1,1,1,0,0,1,1,1,1
geomstats,v1.14,2018-11-30,0,1,1,0,0,0,1,1,0,1
geomstats,jmlr,2018-12-31,0,0,1,1,0,0,0,0,1,1
geomstats,v1.17,2020-03-31,0,0,1,0,0,0,0,0,1,1
geomstats,v2.1.0,2020-05-26,0,1,1,0,0,0,1,1,1,1
geomstats,v2.2.0,2020-06-29,0,0,1,1,0,0,0,0,1,1
geomstats,2.2.1,2021-02-10,0,1,1,0,0,0,1,1,0,1
geomstats,v2.2.2,2021-03-09,0,1,1,0,0,0,1,1,0,1
geomstats,2.2.3,2021-03-20,0,0,1,1,1,0,0,1,1,1
geomstats,2.3.1,2021-10-08,0,0,1,1,0,0,0,0,1,1
geomstats,v2.4.1,2022-01-28,0,1,1,0,0,0,1,1,1,1
geomstats,2.5.0,2022-04-22,0,0,1,1,0,1,0,0,1,1
geomstats,2.6.0,2023-06-28,0,1,1,0,0,0,1,1,0,1
geomstats,2.7.0,2023-08-30,0,0,1,1,1,0,0,0,1,1
