Release,Published_at
v4.3.1,2025-03-23T09:02:54Z
v4.3.0.8,2025-01-05T13:55:13Z
v4.3.0.7,2025-01-03T09:45:17Z
v4.3.0.6,2024-12-31T10:45:24Z
v4.3.0,2024-12-27T14:37:32Z
v4.2.1,2024-11-01T11:00:18Z
v4.2.0,2024-10-20T16:46:24Z
v4.1.2.1,2024-07-04T07:48:17Z
v4.1.1,2024-06-29T16:11:08Z
v4.0.8,2024-06-08T08:33:17Z
v4.0.7,2024-05-31T06:50:42Z
v4.0.6,2024-05-25T10:14:15Z
v4.0.4,2024-05-17T07:20:02Z
v4.0.3,2024-05-15T07:59:31Z
v4.0.2,2024-05-13T21:03:55Z
v3.4.0.5,2024-03-24T12:32:43Z
v3.4.0.2,2023-05-18T15:52:21Z
v3.4.0.1,2023-05-17T13:08:54Z
v3.4.0,2023-05-16T08:40:17Z
v3.3.1,2023-01-14T15:00:47Z
v3.3.0,2022-10-29T09:42:17Z
v3.2.7,2022-07-29T11:22:05Z
v3.2.5,2022-04-16T07:01:10Z
v3.2.4.2,2021-11-29T13:01:08Z
v3.2.4,2021-11-20T09:32:45Z
v3.2.3,2021-08-14T15:24:27Z
v3.2.2,2021-07-24T17:36:58Z
v3.2.0,2021-07-10T07:13:34Z
v3.1.7,2021-05-11T07:14:30Z
v3.1.6,2021-01-23T16:50:31Z
v3.1.5,2020-08-20T08:36:13Z
v3.1.4,2020-03-11T07:26:43Z
v3.1.0,2019-01-19T16:08:26Z
v3.0.2,2018-10-14T08:16:59Z
v3.0,2018-09-05T06:31:54Z
v2.11,2017-08-27T12:10:55Z
v2.10,2017-05-26T14:36:01Z
v2.9.1,2017-04-03T16:32:53Z
v2.9.0,2017-03-27T15:33:26Z
v2.8.1_1,2017-02-06T18:39:09Z
v2.8,2017-01-21T14:44:01Z
v2.7,2016-09-10T13:20:21Z
v2.6.2,2016-05-12T09:03:02Z
v2.6.1,2016-03-26T17:11:04Z
v2.6,2016-03-16T16:59:00Z
v2.5.1,2015-10-22T20:29:03Z
v2.5,2015-10-06T08:12:26Z
v2.4.2,2015-07-21T12:02:19Z
v2.4.1,2015-07-21T12:03:02Z
v2.4,2015-07-21T12:03:53Z
