Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
gluon-nlp,v0.2.0,2018-05-04,0,1,1,0,0,0,1,1,0,1
gluon-nlp,v0.3.3,2018-06-13,1,0,1,1,0,0,1,0,0,1
gluon-nlp,v0.4.1,2018-10-24,0,1,1,0,0,0,1,1,0,1
gluon-nlp,v0.5.0,2018-11-27,1,0,1,1,1,0,1,0,0,1
gluon-nlp,v0.6.0,2019-03-18,1,1,1,1,1,0,0,0,0,1
gluon-nlp,v0.7.0,2019-07-09,0,1,1,0,0,0,1,1,0,1
gluon-nlp,v0.7.1,2019-07-17,0,1,1,0,0,0,1,1,0,1
gluon-nlp,v0.8.0,2019-08-08,0,1,1,0,0,0,1,1,0,1
gluon-nlp,v0.8.1,2019-08-21,1,0,1,1,0,0,1,0,0,1
gluon-nlp,v0.8.2,2019-12-21,0,1,1,0,0,0,1,1,0,1
gluon-nlp,v0.8.3,2020-01-14,0,1,1,0,0,0,1,1,0,1
gluon-nlp,v0.9.0,2020-02-10,0,1,1,0,0,0,1,1,0,1
gluon-nlp,v0.9.1,2020-03-03,0,1,1,1,0,0,1,1,0,1
