Release,Published_at
v0.5.0-alpha.3,2025-01-14T13:06:21Z
v0.5.0-alpha.2,2024-12-21T01:56:46Z
v0.5.0-alpha.1,2024-11-05T12:01:20Z
v0.4.16,2025-01-07T13:58:48Z
v0.4.15,2024-01-10T04:44:45Z
v0.5.0-alpha,2023-06-05T13:50:43Z
v0.4.14,2023-06-04T06:05:14Z
v0.4.13,2023-03-30T03:42:49Z
v0.4.12,2023-03-03T11:48:30Z
v0.4.11,2023-02-19T07:33:00Z
v0.4.10,2022-11-21T00:55:42Z
v0.4.9,2022-11-12T06:36:57Z
v0.4.8,2022-10-13T00:38:31Z
v0.4.7,2022-09-13T15:17:54Z
v0.4.6,2022-08-17T00:45:00Z
v0.4.5,2022-07-09T01:31:12Z
v0.4.4,2022-06-11T13:08:20Z
v0.4.3,2022-05-27T12:21:56Z
v0.4.2,2022-05-14T14:57:02Z
v0.4.1,2022-05-01T12:06:58Z
v0.4.0,2022-04-10T06:57:09Z
v0.3.4,2022-03-13T04:12:00Z
v0.3.3,2022-02-18T12:25:31Z
v0.3.2,2022-02-02T02:20:40Z
v0.3.1,2021-12-29T13:35:57Z
v0.3.0,2021-12-14T12:48:04Z
v0.2.8,2021-11-06T10:28:02Z
v0.2.7,2021-10-16T04:18:16Z
v0.2.6,2021-09-26T13:37:46Z
v0.2.5,2021-09-05T01:48:19Z
v0.2.4,2021-08-15T06:22:52Z
v0.2.3,2021-07-25T03:12:08Z
v0.2.2,2021-07-17T14:33:59Z
v0.2.1,2021-06-17T10:56:16Z
v0.2.0,2021-06-05T05:44:35Z
