Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
gorse,v0.2.0,2021-06-05,0,1,1,0,0,0,0,1,0,1
gorse,v0.2.1,2021-06-17,0,1,1,0,0,0,1,1,0,1
gorse,v0.2.2,2021-07-17,0,1,1,0,0,0,1,1,0,1
gorse,v0.2.3,2021-07-25,0,1,1,0,0,0,1,1,0,1
gorse,v0.2.4,2021-08-15,0,1,1,0,0,0,0,1,0,1
gorse,v0.2.5,2021-09-05,0,1,1,0,0,0,1,1,0,1
gorse,v0.2.6,2021-09-26,0,1,1,0,0,0,1,1,0,1
gorse,v0.2.7,2021-10-16,0,1,1,0,0,0,1,1,0,1
gorse,v0.2.8,2021-11-06,0,1,1,0,0,0,1,1,0,1
gorse,v0.3.0,2021-12-14,0,1,1,0,0,0,1,1,0,1
gorse,v0.3.1,2021-12-29,0,1,1,0,0,0,1,1,0,1
gorse,v0.3.2,2022-02-02,0,1,1,0,0,0,0,1,0,1
gorse,v0.3.3,2022-02-18,0,1,1,0,0,0,1,1,0,1
gorse,v0.3.4,2022-03-13,0,1,1,0,0,0,1,1,0,1
gorse,v0.4.0,2022-04-10,0,1,1,0,0,0,1,1,0,1
gorse,v0.4.1,2022-05-01,0,1,1,0,0,0,0,1,0,1
gorse,v0.4.2,2022-05-14,0,1,1,0,0,0,0,1,0,1
gorse,v0.4.3,2022-05-27,0,1,1,0,0,0,1,1,0,1
gorse,v0.4.4,2022-06-11,0,1,1,0,0,0,0,1,0,1
gorse,v0.4.5,2022-07-09,0,1,1,0,0,0,0,1,0,1
gorse,v0.4.6,2022-08-17,0,1,1,0,0,0,1,1,0,1
gorse,v0.4.7,2022-09-13,0,1,1,0,0,0,1,1,0,1
gorse,v0.4.8,2022-10-13,0,1,1,0,0,0,1,1,0,1
gorse,v0.4.9,2022-11-12,0,1,1,0,0,0,1,1,0,1
gorse,v0.4.10,2022-11-21,0,1,1,1,0,0,1,1,0,1
gorse,v0.4.11,2023-02-19,0,1,1,0,0,0,1,1,0,1
gorse,v0.4.12,2023-03-03,0,1,1,0,0,0,0,1,0,1
gorse,v0.4.13,2023-03-30,0,1,1,0,0,0,1,1,0,1
gorse,v0.4.14,2023-06-04,0,1,1,0,0,0,0,1,0,1
gorse,v0.5.0-alpha,2023-06-05,1,1,1,1,0,0,1,1,0,1
gorse,v0.4.15,2024-01-10,1,1,1,1,0,1,1,1,0,1
gorse,v0.5.0-alpha.1,2024-11-05,0,1,1,0,0,0,0,1,0,1
gorse,v0.5.0-alpha.2,2024-12-21,0,1,1,0,0,0,0,1,0,1
