Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
graspy,v0.0.1,2018-12-14,1,1,1,1,0,0,1,1,0,1
graspy,v0.0.2,2019-03-27,0,1,1,0,0,0,1,1,0,1
graspy,v0.0.3,2019-06-11,0,1,1,0,0,0,1,1,0,1
graspy,v0.1,2019-08-06,1,1,1,0,0,1,1,1,0,1
graspy,v0.2,2020-03-03,1,1,1,1,0,0,1,1,0,1
graspy,v0.3,2020-08-05,0,0,1,1,0,0,0,0,0,1
graspy,v0.3.1,2021-11-05,0,1,1,1,0,0,1,1,0,1
graspy,v1.0.0,2022-02-10,1,1,1,1,0,1,1,1,0,1
graspy,v2.0.0,2022-09-16,0,1,1,0,0,0,1,1,0,1
graspy,v2.0.1,2022-12-10,0,1,1,0,0,0,0,1,0,1
graspy,v3.0.0,2023-03-24,0,1,1,0,0,0,1,1,0,1
graspy,v3.1.0,2023-05-22,0,1,1,0,0,0,0,1,0,1
graspy,v3.2.0,2023-05-23,0,1,1,1,0,1,1,1,0,1
graspy,v3.3.0,2023-09-29,0,1,1,0,0,0,1,1,0,1
