Release,published_at
0.8.1,2024-09-14T08:29:19Z
Version 0.8.0 ,2023-11-26T19:50:09Z
Version 0.7.3,2023-05-13T22:07:00Z
Version 0.7.2,2022-11-21T08:31:08Z
Version 0.7.1,2022-04-16T18:31:03Z
Version 0.7.0,2021-07-17T15:01:47Z
Version 0.6.2,2021-03-20T01:23:45Z
Version 0.6.1,2020-08-12T20:17:46Z
Version 0.6.0,2020-04-24T13:51:51Z
Version 0.5.6,2019-10-16T14:04:47Z
Version 0.5.5,2019-05-28T20:55:06Z
Version 0.5.4,2019-02-12T19:23:18Z
Version 0.5.3,2018-12-10T00:06:31Z
0.5.2,2018-10-17T16:12:43Z
Version 0.5.1 of GROBID,2018-01-29T07:48:23Z
Version 0.5.0 of GROBID,2017-11-09T18:11:39Z
Version 0.4.4 of GROBID ,2017-10-13T14:53:48Z
Version 0.4.3 of GROBID ,2017-10-07T00:55:48Z
Version 0.4.2 of GROBID ,2017-08-05T18:58:11Z
Versions 0.4.1 of GROBID ,2016-10-02T02:00:30Z
Latest stable version for versions 0.3.* of GROBID ,2016-01-11T17:00:55Z
