Release,Published_at
v0.80.3,2024-08-22T19:07:52Z
v0.80.2,2023-01-16T17:40:37Z
v0.80.1,2023-01-14T22:29:40Z
v0.80.0,2023-01-02T04:09:55Z
v0.70.2,2022-05-19T06:37:32Z
v0.70.1,2022-05-03T22:20:26Z
v0.70.0,2022-03-01T22:52:20Z
v0.69.15,2021-11-10T01:34:54Z
v0.69.14,2021-10-27T17:13:40Z
v0.69.13,2021-10-26T19:11:27Z
v0.69.12,2021-10-26T17:54:30Z
v0.69.11,2021-10-23T22:30:11Z
v0.69.10,2021-10-22T16:04:54Z
v0.69.9,2021-10-21T21:11:40Z
v0.69.8,2021-10-01T23:00:58Z
v0.69.7,2021-10-01T19:52:32Z
v0.69.6,2021-09-29T20:17:48Z
v0.69.5,2021-09-20T17:02:11Z
v0.69.4,2021-09-19T18:15:20Z
v0.69.3,2021-09-12T20:26:11Z
v0.69.2,2021-09-03T17:47:48Z
v0.69.1,2021-09-02T15:47:30Z
v0.69.0,2021-09-02T15:31:20Z
v0.68.0,2021-08-30T15:57:13Z
v0.67.0,2021-05-06T17:31:52Z
v0.66.7,2021-04-01T16:49:46Z
v0.66.6,2021-03-25T17:08:10Z
v0.66.1,2021-03-19T16:57:31Z
v0.66.0,2021-03-16T17:12:56Z
v0.65.1,2021-01-18T17:18:33Z
v0.65.0,2021-01-16T16:42:14Z
v0.64.1,2021-01-03T17:54:58Z
v0.64.0,2020-12-31T16:53:16Z
v0.63.3,2020-12-14T16:50:53Z
v0.63.2,2020-11-22T15:16:30Z
v0.63.1,2020-11-12T15:55:34Z
v0.63.0,2020-10-25T14:56:03Z
v0.62.1,2020-10-12T15:53:45Z
v0.62.0,2020-10-11T16:24:28Z
v0.61.0,2020-10-09T16:37:07Z
v0.60.0,2020-08-25T16:08:14Z
v0.60.0-rc5.3,2020-08-23T14:26:29Z
v0.60.0-rc5.2,2020-08-19T15:27:56Z
v0.60.0-rc5.1,2020-08-19T14:41:02Z
v0.60.0-rc5,2020-08-18T15:54:27Z
v0.60.0-rc4.2,2020-07-28T15:29:44Z
v0.60.0-rc4.1,2020-07-28T14:53:00Z
v0.60.0-rc4,2020-07-22T16:04:24Z
v0.60.0-rc3,2020-07-06T14:42:54Z
v0.60.0-rc2,2020-07-05T14:05:11Z
v0.60.0-rc1,2020-06-29T15:58:10Z
v0.60.0-beta2,2020-06-21T14:48:52Z
v0.60.0-beta1,2020-06-18T15:32:01Z
v0.50.3,2020-05-26T15:58:46Z
v0.50.2,2020-05-25T17:53:27Z
v0.50.1,2020-05-25T17:13:03Z
0.40.0,2019-03-12T15:06:12Z
0.30.0,2019-01-23T23:26:46Z
0.20.0,2018-10-09T18:54:19Z
0.10.0,2018-04-27T11:38:00Z
