Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
gse,0.10.0,2018-04-27,0,1,1,0,0,0,1,1,0,1
gse,0.20.0,2018-10-09,0,1,1,0,0,0,0,1,0,1
gse,0.30.0,2019-01-23,0,1,1,0,0,0,0,1,0,1
gse,0.40.0,2019-03-12,0,1,1,0,0,0,1,1,1,1
gse,v0.50.1,2020-05-25,0,1,1,0,0,0,0,1,0,1
gse,v0.50.2,2020-05-25,0,1,1,0,0,0,0,1,0,1
gse,v0.50.3,2020-05-26,0,1,1,0,0,0,0,1,0,1
gse,v0.60.0-beta1,2020-06-18,0,1,1,0,0,0,0,1,0,1
gse,v0.60.0-beta2,2020-06-21,0,1,1,0,0,0,0,1,0,1
gse,v0.60.0-rc1,2020-06-29,0,1,1,0,0,0,0,1,0,1
gse,v0.60.0-rc2,2020-07-05,0,1,1,0,0,0,0,1,0,1
gse,v0.60.0-rc3,2020-07-06,0,1,1,0,0,0,0,1,0,1
gse,v0.60.0-rc4,2020-07-22,0,1,1,0,0,0,0,1,0,1
gse,v0.60.0-rc4.1,2020-07-28,0,1,1,0,0,0,0,1,0,1
gse,v0.60.0-rc4.2,2020-07-28,0,1,1,0,0,0,0,1,0,1
gse,v0.60.0-rc5,2020-08-18,0,1,1,0,0,0,0,1,0,1
gse,v0.60.0-rc5.1,2020-08-19,0,1,1,0,0,0,0,1,0,1
gse,v0.60.0-rc5.2,2020-08-19,0,1,1,0,0,0,0,1,0,1
gse,v0.60.0,2020-08-25,0,1,1,0,0,0,0,1,0,1
gse,v0.61.0,2020-10-09,0,1,1,0,0,0,0,1,0,1
gse,v0.62.0,2020-10-11,0,1,1,0,0,0,1,1,0,1
gse,v0.62.1,2020-10-12,0,1,1,0,0,0,0,1,0,1
gse,v0.63.0,2020-10-25,0,1,1,0,0,0,0,1,0,1
gse,v0.63.1,2020-11-12,0,1,1,0,0,0,0,1,0,1
gse,v0.63.2,2020-11-22,0,1,1,0,0,0,0,1,0,1
gse,v0.63.3,2020-12-14,0,1,1,0,0,0,0,1,0,1
gse,v0.64.0,2020-12-31,0,1,1,0,0,0,0,1,0,1
gse,v0.64.1,2021-01-03,0,1,1,0,0,0,0,1,0,1
gse,v0.65.0,2021-01-16,0,1,1,0,0,0,0,1,0,1
gse,v0.65.1,2021-01-18,0,1,1,0,0,0,0,1,0,1
gse,v0.66.0,2021-03-16,0,1,1,0,0,0,0,1,0,1
gse,v0.66.1,2021-03-19,0,1,1,0,0,0,0,1,0,1
gse,v0.66.6,2021-03-25,0,1,1,0,0,0,0,1,0,1
gse,v0.66.7,2021-04-01,0,1,1,0,0,0,0,1,0,1
gse,v0.67.0,2021-05-06,0,1,1,0,0,0,0,1,0,1
gse,v0.68.0,2021-08-30,0,1,1,0,0,0,0,1,0,1
gse,v0.69.0,2021-09-02,0,1,1,0,0,0,0,1,0,1
gse,v0.69.1,2021-09-02,0,1,1,0,0,0,0,1,0,1
gse,v0.69.2,2021-09-03,0,1,1,0,0,0,0,1,0,1
gse,v0.69.3,2021-09-12,0,1,1,0,0,0,0,1,0,1
gse,v0.69.4,2021-09-19,0,1,1,0,0,0,0,1,0,1
gse,v0.69.5,2021-09-20,0,1,1,0,0,0,0,1,0,1
gse,v0.69.6,2021-09-29,0,1,1,0,0,0,0,1,0,1
gse,v0.69.7,2021-10-01,0,1,1,0,0,0,0,1,0,1
gse,v0.69.8,2021-10-01,0,1,1,0,0,0,0,1,0,1
gse,v0.69.9,2021-10-21,0,1,1,0,0,0,0,1,0,1
gse,v0.69.10,2021-10-22,0,1,1,0,0,0,0,1,0,1
gse,v0.69.11,2021-10-23,0,1,1,0,0,0,0,1,0,1
gse,v0.69.12,2021-10-26,0,1,1,0,0,0,0,1,0,1
gse,v0.69.13,2021-10-26,0,1,1,0,0,0,0,1,0,1
gse,v0.69.14,2021-10-27,0,1,1,0,0,0,0,1,0,1
gse,v0.69.15,2021-11-10,0,1,1,0,0,0,0,1,0,1
gse,v0.70.0,2022-03-01,0,1,1,0,0,0,0,1,0,1
gse,v0.70.1,2022-05-03,0,1,1,0,0,0,1,1,0,1
gse,v0.70.2,2022-05-19,0,1,1,0,0,0,1,1,0,1
gse,v0.80.0,2023-01-02,0,1,1,0,0,0,0,1,0,1
gse,v0.80.1,2023-01-14,0,1,1,0,0,0,0,1,0,1
gse,v0.80.2,2023-01-16,0,1,1,0,0,0,1,1,0,1
