Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
habitat-sim,v0.1.0,2019-02-26,0,1,1,0,0,0,1,1,0,1
habitat-sim,v0.1.1,2019-04-03,1,1,1,1,0,0,1,0,0,1
habitat-sim,v0.1.2,2019-06-14,0,0,0,1,1,0,0,1,1,0
habitat-sim,v0.1.3,2019-10-14,1,1,1,1,0,0,1,0,0,1
habitat-sim,v0.1.4,2020-01-21,0,0,1,1,0,0,0,0,0,0
habitat-sim,v0.1.5,2020-05-28,1,1,1,1,0,0,0,1,0,0
habitat-sim,v0.1.6,2020-09-18,0,0,1,1,0,1,0,1,1,1
habitat-sim,v0.1.7-rc2,2021-01-27,0,1,1,0,0,0,1,1,0,1
habitat-sim,v0.1.7-rc3,2021-01-28,0,1,1,0,0,0,1,1,0,1
habitat-sim,v0.1.7,2021-01-29,0,0,1,1,0,0,0,0,0,1
habitat-sim,v0.2.0-rc1,2021-06-28,0,1,1,0,0,0,1,1,0,1
habitat-sim,v0.2.0_rc2,2021-06-30,0,1,1,0,0,0,1,1,0,1
habitat-sim,v0.2.0,2021-06-30,0,1,1,0,0,0,1,1,0,1
habitat-sim,v0.2.1,2021-07-30,1,0,1,1,0,0,0,1,0,0
habitat-sim,v0.2.2_rc1,2022-06-06,0,1,1,0,0,0,1,1,0,1
habitat-sim,v0.2.2,2022-06-15,1,1,1,1,0,0,0,1,0,1
habitat-sim,v0.2.3_rc1,2022-11-28,0,1,1,0,0,0,0,1,0,1
habitat-sim,v0.2.3_rc2,2022-11-29,0,1,1,0,0,0,1,1,0,1
habitat-sim,v0.2.3,2022-12-08,0,1,1,0,0,0,1,1,0,1
habitat-sim,v0.2.4.0-rc1,2023-03-30,0,1,1,0,0,0,0,1,0,1
habitat-sim,v0.2.4,2023-03-31,0,1,1,0,0,0,1,1,0,1
habitat-sim,v0.2.5,2023-07-29,0,1,1,1,0,0,1,1,0,1
habitat-sim,v0.3.0,2023-10-19,0,1,1,0,0,0,1,1,0,1
habitat-sim,v0.3.1,2024-03-15,0,1,1,0,0,0,1,1,0,1
habitat-sim,stable,2020-09-18,0,0,1,1,0,1,0,1,1,1
