Release,Published_at
release-0.8.40,2024-11-18T15:47:23Z
release-0.8.39,2024-10-12T01:52:14Z
release-0.8.38.post2,2024-10-08T01:50:20Z
release-0.8.38-2,2024-10-08T01:21:40Z
release-0.8.38-1,2024-08-05T22:10:29Z
release-0.8.38,2024-08-05T21:09:07Z
release-0.8.37,2024-06-17T19:32:13Z
release-0.8.36,2024-05-24T16:21:00Z
release-0.8.35,2024-05-23T23:54:39Z
release-0.8.34-rc1,2023-11-20T19:04:39Z
0.8.33,2023-07-18T17:50:51Z
0.8.32,2023-07-17T18:59:43Z
0.8.31,2023-07-17T18:38:16Z
0.8.30,2023-07-05T00:04:50Z
0.8.29-1,2022-10-31T20:21:51Z
0.8.29,2022-10-31T17:23:07Z
0.8.28.wheels,2022-02-08T17:15:41Z
0.8.28,2022-02-08T15:44:47Z
0.8.27,2022-02-08T15:36:55Z
0.8.26,2020-03-19T19:12:55Z
0.8.24,2019-12-08T05:55:23Z
0.8.23,2019-10-08T17:49:52Z
0.8.20,2019-04-16T01:12:11Z
0.8.19,2019-01-24T19:00:26Z
0.8.18,2018-09-11T14:40:47Z
0.8.17,2018-09-08T01:31:54Z
0.8.16,2018-09-07T15:32:02Z
0.8.15,2018-07-21T02:09:52Z
0.8.14,2018-07-18T19:29:02Z
0.8.13,2018-04-27T02:20:29Z
0.8.12,2018-01-20T19:47:51Z
0.8.11,2017-11-09T03:07:51Z
0.8.10,2017-03-21T00:26:57Z
0.8.9,2017-03-21T00:16:33Z
0.8.8.1,2017-03-05T20:05:41Z
0.8.8,2017-03-05T20:02:59Z
0.8.6,2017-02-02T03:37:29Z
0.8.5,2017-01-28T19:00:56Z
0.8.4,2017-01-05T00:24:46Z
0.8.3,2016-11-25T17:12:31Z
0.8.2,2016-09-15T13:04:54Z
0.8.1,2016-08-18T19:46:25Z
0.8,2016-05-31T22:03:46Z
0.7.3,2016-04-29T23:45:29Z
0.7.2,2016-02-29T01:32:21Z
0.7.1,2016-02-26T03:39:34Z
0.7,2016-02-22T15:45:10Z
0.6.4,2015-12-05T14:52:42Z
0.6.3,2015-12-04T03:12:53Z
0.6.2,2015-12-04T02:59:57Z
0.6,2015-12-02T02:48:47Z
0.5,2015-11-15T01:27:23Z
0.4.2,2015-11-09T03:39:18Z
0.4,2015-11-08T22:54:34Z
0.3,2015-10-30T00:20:21Z
0.1,2015-10-10T03:30:52Z
