Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
hdbscan,0.1,2015-10-10,0,1,1,0,0,0,1,1,0,1
hdbscan,0.3,2015-10-30,0,1,1,0,0,0,0,1,0,1
hdbscan,0.4,2015-11-08,0,1,1,0,0,0,0,1,0,1
hdbscan,0.4.2,2015-11-09,0,1,1,0,0,0,1,1,0,1
hdbscan,0.5,2015-11-15,0,1,1,0,0,0,0,1,0,1
hdbscan,0.6,2015-12-02,0,1,1,0,0,0,1,1,0,1
hdbscan,0.6.2,2015-12-04,0,1,1,0,0,0,0,1,0,1
hdbscan,0.6.3,2015-12-04,0,1,1,0,0,0,0,1,0,1
hdbscan,0.6.4,2015-12-05,0,1,1,0,0,0,1,1,0,1
hdbscan,0.7,2016-02-22,0,1,1,0,0,0,0,1,0,1
hdbscan,0.7.1,2016-02-26,0,1,1,0,0,0,0,1,0,1
hdbscan,0.7.2,2016-02-29,0,1,1,0,0,0,0,1,0,1
hdbscan,0.7.3,2016-04-29,0,1,1,0,0,0,0,1,0,1
hdbscan,0.8,2016-05-31,0,1,1,0,0,0,1,1,0,1
hdbscan,0.8.1,2016-08-18,0,1,1,0,0,0,1,1,0,1
hdbscan,0.8.2,2016-09-15,0,1,1,0,0,0,1,1,0,1
hdbscan,0.8.3,2016-11-25,0,1,1,0,0,0,0,1,0,1
hdbscan,0.8.4,2017-01-05,0,1,1,0,0,0,1,1,0,1
hdbscan,0.8.5,2017-01-28,0,1,1,0,0,0,0,1,0,1
hdbscan,0.8.6,2017-02-02,0,1,1,0,0,0,0,1,0,1
hdbscan,0.8.8,2017-03-05,0,1,1,0,0,0,1,1,0,1
hdbscan,0.8.8.1,2017-03-05,0,1,1,0,0,0,1,1,0,1
hdbscan,0.8.9,2017-03-21,1,1,1,1,0,1,1,1,0,1
hdbscan,0.8.10,2017-03-21,1,1,1,1,0,1,1,1,0,1
hdbscan,0.8.11,2017-11-09,1,1,1,1,0,0,1,1,0,1
hdbscan,0.8.12,2018-01-20,1,1,1,1,0,0,1,1,0,1
hdbscan,0.8.13,2018-04-27,1,1,1,1,0,1,1,1,0,1
hdbscan,0.8.14,2018-07-18,0,1,1,0,0,0,0,1,0,1
hdbscan,0.8.15,2018-07-21,0,1,1,0,0,0,1,1,0,1
hdbscan,0.8.16,2018-09-07,0,1,1,0,0,0,1,1,0,1
hdbscan,0.8.17,2018-09-08,0,1,1,0,0,0,1,1,0,1
hdbscan,0.8.18,2018-09-11,1,1,1,1,0,0,1,1,0,1
hdbscan,0.8.19,2019-01-24,0,1,1,0,0,0,1,1,0,1
hdbscan,0.8.20,2019-04-16,0,1,1,1,0,1,1,1,0,1
hdbscan,0.8.23,2019-10-08,0,1,1,0,0,0,1,1,0,1
hdbscan,0.8.24,2019-12-08,1,1,1,1,0,0,1,1,0,1
hdbscan,0.8.26,2020-03-19,1,1,1,0,0,1,0,0,0,1
hdbscan,0.8.27,2022-02-08,1,1,1,1,0,0,1,1,0,1
hdbscan,0.8.28,2022-02-08,1,1,1,1,0,0,1,1,0,1
hdbscan,0.8.28.wheels,2022-02-08,1,1,1,1,0,0,1,1,0,1
hdbscan,0.8.29,2022-10-31,0,1,1,1,0,1,1,1,0,1
hdbscan,0.8.29-1,2022-10-31,0,1,1,1,0,1,1,1,0,1
hdbscan,0.8.31,2023-07-17,0,1,1,0,0,0,0,1,0,1
hdbscan,0.8.32,2023-07-17,0,1,1,0,0,0,0,1,0,1
hdbscan,0.8.33,2023-07-18,1,1,1,1,0,1,1,1,0,1
hdbscan,release-0.8.34-rc1,2023-11-20,0,1,1,1,0,0,1,1,0,1
hdbscan,release-0.8.35,2024-05-23,0,1,1,0,0,0,0,1,0,1
hdbscan,release-0.8.36,2024-05-24,0,1,1,0,0,0,0,1,0,1
hdbscan,release-0.8.37,2024-06-17,0,1,1,1,0,0,1,1,0,1
hdbscan,release-0.8.38,2024-08-05,1,1,1,1,0,1,1,1,0,1
hdbscan,release-0.8.38-1,2024-08-05,1,1,1,1,0,1,1,1,0,1
hdbscan,release-0.8.38-2,2024-10-08,0,1,1,0,0,0,1,1,0,1
hdbscan,release-0.8.38.post2,2024-10-08,0,1,1,0,0,0,1,1,0,1
hdbscan,release-0.8.39,2024-10-12,0,1,1,0,0,0,1,1,0,1
