Release,Published_at
v2.5.0,2020-08-06T18:33:34Z
v2.4.0,2020-02-28T18:47:35Z
2.3.0,2018-12-16T10:04:06Z
v2.2.0,2018-09-01T22:47:33Z
v2.1.1,2018-07-12T05:07:02Z
v2.1.0,2018-06-29T23:48:16Z
2.0.0,2018-04-20T23:03:05Z
v2.0.0.9000,2018-04-03T02:51:28Z
v1.2.4,2018-02-14T18:30:33Z
v1.2.3,2017-12-21T05:29:05Z
v1.2.2,2017-12-04T15:54:36Z
v1.2.1,2017-11-29T22:19:03Z
v1.2.0,2017-10-25T20:35:50Z
v1.0.0,2017-09-01T14:14:18Z
v0.1.12,2017-05-09T16:55:18Z
v0.1.11,2017-03-02T22:23:13Z
v0.1.10,2016-12-30T15:45:41Z
