Release,Published_at
v1.1.0,2025-03-17T16:51:08Z
v1.0.0,2024-12-09T22:47:29Z
v0.8.1,2023-12-19T21:00:03Z
v0.8.0,2023-11-16T00:10:25Z
v0.8.0rc1,2023-11-08T00:09:05Z
v0.7.1,2023-05-13T15:55:52Z
v0.7.0,2023-04-26T17:08:12Z
v0.7.0rc1,2023-04-15T01:44:06Z
v0.6.0,2021-11-12T12:25:59Z
v0.5.0,2021-03-05T17:15:46Z
v0.5.0-beta,2021-01-18T15:37:23Z
v0.4.0,2020-10-30T16:49:04Z
v0.3.0,2020-07-31T09:06:47Z
v0.2.0,2020-03-31T10:48:40Z
v0.1.6,2020-02-10T17:05:20Z
v0.1.5,2019-08-02T20:38:07Z
v0.1.2,2018-03-20T16:55:43Z
v0.1.1,2018-03-16T18:07:40Z
