Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
hls4ml,v0.1.1,2018-03-16,0,1,1,0,0,0,0,1,0,1
hls4ml,v0.1.2,2018-03-20,0,0,1,1,0,0,0,0,0,1
hls4ml,v0.1.5,2019-08-02,1,1,1,1,0,0,1,1,0,1
hls4ml,v0.1.6,2020-02-10,0,1,1,0,0,0,1,1,0,1
hls4ml,v0.2.0,2020-03-31,0,1,1,0,0,0,1,1,0,1
hls4ml,v0.3.0,2020-07-31,0,1,1,0,0,0,1,1,0,1
hls4ml,v0.4.0,2020-10-30,0,1,1,0,0,0,1,1,0,1
hls4ml,v0.5.0-beta,2021-01-18,0,1,1,0,0,0,1,1,0,1
hls4ml,v0.5.0,2021-03-05,0,0,1,1,0,0,0,1,0,1
hls4ml,v0.6.0,2021-11-12,0,0,1,1,1,0,0,0,1,1
hls4ml,v0.7.0rc1,2023-04-15,0,1,1,0,0,0,1,1,0,1
hls4ml,v0.7.0,2023-04-26,0,1,1,0,0,0,1,1,0,1
hls4ml,v0.7.1,2023-05-13,0,1,1,1,0,0,0,0,0,1
hls4ml,v0.8.0rc1,2023-11-08,0,1,1,0,0,0,1,1,0,1
hls4ml,v0.8.0,2023-11-16,0,1,1,0,0,0,1,1,0,1
hls4ml,v0.8.1,2023-12-19,0,0,1,1,0,0,0,0,1,1
hls4ml,v1.0.0,2024-12-09,0,1,0,0,0,0,1,1,0,1
