Release,Published_at
v0.5.2,2025-03-29T13:48:07Z
v0.5.1,2024-08-13T12:45:05Z
v0.5.0.post2,2024-04-01T10:35:11Z
v0.4.13,2023-10-19T08:22:16Z
v0.4.12,2023-05-01T08:23:15Z
v0.4.11,2023-02-18T01:34:47Z
v0.4.10,2022-09-05T11:15:09Z
v0.4.9,2022-05-04T20:24:44Z
v0.4.8,2022-01-17T15:27:24Z
v0.4.7,2021-10-13T09:09:00Z
v0.4.6,2021-08-02T17:02:31Z
v0.4.5,2021-06-24T22:50:38Z
v0.4.4.post1,2021-03-03T23:04:01Z
v0.4.3,2021-02-07T23:13:29Z
v0.4.2,2020-09-20T19:12:01Z
v0.4.1,2020-07-23T07:42:59Z
v0.4.0.post1,2020-06-26T00:33:12Z
v0.4rc.0.post1,2020-06-06T20:06:38Z
v0.3.0,2020-01-21T23:26:18Z
v0.2.1,2019-10-03T22:44:52Z
v0.2.0,2019-04-09T16:05:29Z
v0.1.2,2018-12-14T12:35:31Z
v0.1.1,2018-11-09T08:05:45Z
v0.1.0,2018-06-18T23:03:30Z
