Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
ignite,v0.1.0,2018-06-18,1,1,1,1,0,0,1,1,0,1
ignite,v0.1.1,2018-11-09,0,1,1,0,0,0,1,1,0,1
ignite,v0.1.2,2018-12-14,1,0,1,1,0,0,1,1,0,1
ignite,v0.2.0,2019-04-09,1,1,1,1,0,0,1,1,0,1
ignite,v0.2.1,2019-10-03,0,1,1,0,0,0,1,1,0,1
ignite,v0.3.0,2020-01-21,0,0,1,1,1,0,0,0,0,1
ignite,v0.4rc.0.post1,2020-06-06,0,1,1,0,0,0,1,1,0,1
ignite,v0.4.0.post1,2020-06-26,0,1,1,0,0,0,1,1,0,1
ignite,v0.4.1,2020-07-23,1,1,1,1,0,0,1,0,0,1
ignite,v0.4.2,2020-09-20,0,0,1,1,1,0,0,0,0,1
ignite,v0.4.3,2021-02-07,0,1,1,0,0,0,1,1,0,1
ignite,v0.4.4.post1,2021-03-03,0,1,1,1,1,0,0,0,0,1
ignite,v0.4.5,2021-06-24,0,1,1,0,0,0,1,1,0,1
ignite,v0.4.6,2021-08-02,1,1,1,0,0,0,1,0,0,1
ignite,v0.4.7,2021-10-13,1,1,1,1,0,0,1,0,0,1
ignite,v0.4.8,2022-01-17,1,1,1,1,0,0,1,0,0,1
ignite,v0.4.9,2022-05-04,1,1,1,1,0,0,1,1,0,1
ignite,v0.4.10,2022-09-05,1,1,1,1,0,0,1,1,0,1
ignite,v0.4.11,2023-02-18,1,1,1,1,0,0,1,0,0,1
ignite,v0.4.12,2023-05-01,1,1,1,1,0,0,1,0,0,1
ignite,v0.4.13,2023-10-19,1,1,1,1,0,1,1,1,0,1
ignite,v0.5.0.post2,2024-04-01,1,1,1,1,0,0,1,1,0,1
ignite,v0.5.1,2024-08-13,0,1,1,1,0,0,1,0,0,1
