Release,Published_at
1.9.1,2022-05-10T20:10:05Z
1.9.1.rc0,2022-04-25T22:55:15Z
2.0.0.beta1,2022-03-22T00:13:06Z
2.0.0.beta1.rc1,2022-03-08T23:34:40Z
2.0.0.beta1.rc0,2022-01-22T00:55:37Z
1.9.0,2021-05-21T15:41:19Z
2.0.0.beta0.rc0,2021-09-30T21:08:51Z
1.8.0,2021-03-03T01:00:20Z
v2.0.0.alpha.rc3,2021-02-17T22:30:00Z
v2.0.0.alpha.rc2,2021-02-03T15:21:57Z
v2.0.0.alpha.rc1,2021-02-02T16:49:18Z
v2.0.0.alpha.rc0,2021-02-02T16:49:54Z
1.7.0,2020-08-25T02:00:30Z
1.6.0,2020-02-20T23:47:52Z
1.5.1,2019-09-05T14:08:07Z
1.5.0,2019-06-08T05:52:27Z
1.4.1,2019-04-30T05:42:50Z
1.4.0,2019-02-16T01:12:26Z
1.3.1,2018-11-12T22:49:55Z
1.3.0,2018-09-11T20:55:10Z
1.2.1,2018-07-17T05:27:02Z
1.2.0,2018-05-21T19:38:40Z
1.1.0,2018-02-19T23:10:33Z
1.0.0,2017-12-04T00:50:18Z
0.12.1,2017-11-15T23:19:27Z
0.12.0,2017-10-30T20:45:24Z
0.11.0,2017-09-05T18:56:18Z
v0.10.0,2017-05-26T22:58:24Z
v0.9.5,2017-05-02T07:16:46Z
v0.9.3,2017-01-22T19:09:43Z
v0.9.2,2020-06-24T18:46:32Z
v0.9.1,2020-06-24T18:45:35Z
v0.8.0,2016-12-28T23:27:47Z
v0.7.0,2016-05-26T19:48:02Z
