Release,Published_at
v2.2.0,2021-05-10T18:55:49Z
v2.1.4,2021-01-08T21:28:06Z
v2.1.3,2021-01-01T05:14:02Z
v2.1.2,2020-12-03T18:02:10Z
v2.1.1,2020-11-08T03:49:53Z
v2.1.0,2020-10-27T03:01:55Z
v2.0.0,2020-10-08T16:16:49Z
v1.3.2,2020-04-24T18:25:35Z
v1.3.1,2020-03-10T16:05:23Z
v1.3.0,2020-02-26T01:04:57Z
v1.2.1,2019-09-23T14:54:00Z
v1.2.0,2019-09-16T18:35:58Z
v1.1.0,2019-08-15T20:34:30Z
v1.0.1,2019-07-12T15:05:43Z
v1.0.0,2019-07-10T21:45:47Z
r2,2019-06-10T14:22:13Z
v0.9.1,2019-05-23T09:07:58Z
v0.9.0,2019-05-06T12:24:16Z
r1,2018-09-28T01:16:15Z
