Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
jiant,r1,2018-09-28,0,0,1,1,0,0,0,0,0,1
jiant,v0.9.0,2019-05-06,0,1,1,0,0,0,1,1,0,1
jiant,v0.9.1,2019-05-23,0,1,1,0,0,0,1,1,0,1
jiant,r2,2019-06-10,0,1,1,0,0,0,1,1,1,1
jiant,v1.0.0,2019-07-10,0,1,1,0,0,0,1,1,0,1
jiant,v1.0.1,2019-07-12,0,1,1,0,0,0,1,1,0,1
jiant,v1.1.0,2019-08-15,0,1,1,0,0,0,1,1,0,1
jiant,v1.2.0,2019-09-16,0,1,1,0,0,0,1,1,0,1
jiant,v1.2.1,2019-09-23,0,1,1,0,0,0,1,1,0,1
jiant,v1.3.0,2020-02-26,0,1,1,0,0,0,1,1,0,1
jiant,v1.3.1,2020-03-10,0,1,1,0,0,0,1,1,0,1
jiant,v1.3.2,2020-04-24,0,1,1,1,0,0,0,0,0,1
jiant,v2.0.0,2020-10-08,0,1,1,0,0,0,1,1,0,1
jiant,v2.1.0,2020-10-27,0,1,1,0,0,0,1,1,0,1
jiant,v2.1.1,2020-11-08,0,1,1,0,0,0,1,1,0,1
jiant,v2.1.2,2020-12-03,0,1,1,0,0,0,1,1,0,1
jiant,v2.1.3,2021-01-01,0,1,1,0,0,0,1,1,0,1
jiant,v2.1.4,2021-01-08,0,1,1,0,0,0,1,1,0,1
