Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
jieba-php,0.16,2015-04-30,0,1,1,0,0,0,0,1,0,1
jieba-php,0.17,2015-05-02,0,1,1,0,0,0,0,1,0,1
jieba-php,0.18,2015-05-27,0,1,1,0,0,0,0,1,0,1
jieba-php,0.19,2015-07-27,0,1,1,0,0,0,0,1,0,1
jieba-php,0.2,2015-11-30,0,1,1,0,0,0,0,1,0,1
jieba-php,0.21,2016-01-27,0,1,1,0,0,0,0,1,0,1
jieba-php,0.22,2016-01-28,0,1,1,0,0,0,0,1,0,1
jieba-php,0.23,2016-01-28,0,1,1,0,0,0,0,1,0,1
jieba-php,0.24,2016-02-06,0,1,1,0,0,0,0,1,0,1
jieba-php,0.25,2016-02-16,1,1,1,1,0,1,1,1,0,1
jieba-php,0.26,2017-11-04,0,1,1,0,0,0,0,1,0,1
jieba-php,0.27,2017-11-04,0,1,1,0,0,0,0,1,0,1
jieba-php,0.28,2017-11-07,0,1,1,0,0,0,0,1,0,1
jieba-php,0.29,2017-11-09,0,1,1,0,0,0,0,1,0,1
jieba-php,0.31,2017-11-21,0,1,1,0,0,0,0,1,0,1
jieba-php,0.32,2017-11-22,1,1,1,1,1,1,0,1,0,1
jieba-php,0.33,2017-11-22,1,1,1,1,1,1,0,1,0,1
