Release,Published_at
v0.8.0,2025-01-11T05:12:17Z
v0.7.4,2024-11-05T09:27:33Z
v0.7.3,2024-06-28T15:15:38Z
v0.7.2,2024-03-14T09:13:46Z
v0.7.1,2023-12-27T10:47:21Z
v0.7.0,2023-08-02T09:57:58Z
v0.6.12,2023-04-20T21:02:06Z
v0.6.11,2023-03-28T23:00:00Z
v0.6.10,2023-02-17T20:15:18Z
v0.6.9,2022-12-21T20:03:16Z
v0.6.8,2022-10-13T09:21:21Z
v0.6.7,2022-08-30T12:52:09Z
v0.6.6,2022-07-16T09:16:59Z
v0.6.5,2022-05-17T09:25:28Z
v0.6.4,2022-03-21T14:48:22Z
v0.6.3,2022-01-31T15:09:00Z
v0.6.2,2021-12-03T21:27:30Z
v0.6.1,2021-10-22T21:47:19Z
v0.6.0,2021-10-22T13:34:15Z
0.5.11,2021-09-19T21:40:37Z
0.5.8,2021-08-06T17:47:07Z
0.5.7,2021-07-26T17:42:02Z
0.5.6,2021-07-12T10:03:43Z
0.5.5,2021-06-27T20:53:53Z
0.5.4,2021-06-11T21:57:47Z
0.5.3,2021-05-30T08:40:56Z
0.5.2,2021-05-14T15:24:40Z
0.5.1,2021-04-30T12:07:47Z
v0.5.0,2021-03-17T09:09:56Z
v0.4.1,2020-10-20T19:22:02Z
v0.4.0,2020-08-06T23:44:20Z
v0.3.2,2020-08-06T23:12:32Z
v0.3.1,2020-05-10T13:14:02Z
v0.3.0,2020-04-27T09:25:45Z
v0.2.2,2020-04-26T14:35:55Z
v0.2.1,2020-04-21T08:24:44Z
v0.2.0,2020-01-27T18:23:47Z
v0.1.4,2019-10-05T10:57:00Z
v0.1.2,2019-03-14T11:50:57Z
v0.1.1,2019-01-08T15:47:39Z
v0.1.0,2018-10-03T15:24:35Z
