Release,Published_at
v5.8.1,2025-03-24T03:34:37Z
v5.8.0,2025-03-16T08:20:26Z
v5.7.0,2025-03-04T09:55:23Z
v5.6.1,2025-01-23T09:59:37Z
v5.6.0,2024-12-30T14:45:31Z
v5.5.0,2024-06-13T16:45:18Z
v5.4.1,2024-01-06T14:10:18Z
v5.4.0,2023-12-31T05:19:17Z
v5.4.0a0,2023-12-02T07:39:42Z
v5.3.1,2023-08-22T14:07:49Z
v5.3.0,2023-08-06T07:10:31Z
v5.3.0a0,2023-05-16T15:09:26Z
v5.2.1,2023-05-16T15:06:52Z
v5.2.0.post4,2023-04-13T15:13:05Z
sam-20230416,2023-04-16T12:31:29Z
v5.2.0,2023-04-06T11:07:57Z
v5.1.1,2022-11-20T07:10:29Z
v5.1.0,2022-11-15T09:33:31Z
v5.0.5,2022-10-30T12:37:43Z
v5.0.4,2022-10-24T14:36:12Z
v5.0.3,2022-10-23T12:33:51Z
v5.0.2,2022-09-26T13:34:53Z
v5.0.1,2022-03-03T14:26:17Z
v5.0.1a0,2022-03-03T14:24:45Z
v5.0.0,2022-02-26T14:23:29Z
v4.6.0,2021-11-18T17:49:27Z
v4.5.13,2021-10-06T17:45:47Z
v4.5.12,2021-09-28T12:57:18Z
v4.5.11,2021-09-23T15:48:50Z
v4.5.10,2021-09-08T11:54:58Z
v4.5.9,2021-06-27T06:22:24Z
v4.5.8.post0,2021-06-27T05:24:13Z
v4.5.8,2021-06-27T05:07:26Z
v4.5.7,2021-01-24T19:42:02Z
v4.5.6,2020-07-16T14:56:49Z
v4.5.5,2020-07-01T11:42:13Z
v3.16.1,2019-06-10T15:47:15Z
v3.16.0,2019-05-28T19:33:44Z
v3.15.2,2019-05-16T12:24:43Z
v3.15.1,2019-05-16T03:01:26Z
v3.15.0,2019-05-15T16:21:36Z
v3.14.2,2019-05-13T15:22:51Z
v3.13.1,2019-04-12T19:21:06Z
v3.13.0,2019-04-12T19:08:28Z
v3.12.0,2019-04-11T03:55:04Z
v3.11.2,2019-03-21T21:28:10Z
v3.11.1,2019-03-21T14:09:59Z
v3.11.0,2019-03-16T12:11:40Z
v3.10.1,2019-03-01T13:23:30Z
v3.10.0,2019-02-25T15:29:06Z
v3.9.1,2019-02-21T08:51:02Z
v3.9.0,2019-02-12T07:42:10Z
v3.8.2,2019-02-12T05:06:20Z
v3.8.1,2019-02-01T14:39:35Z
v3.8.0,2019-02-01T00:15:15Z
v3.7.2,2019-01-30T12:01:32Z
v3.7.1,2019-01-28T21:59:33Z
v3.7.0,2019-01-27T18:01:02Z
v3.6.16,2019-01-02T16:09:50Z
v3.6.13,2019-01-02T15:26:04Z
v3.6.12,2018-12-29T06:52:59Z
v3.6.11,2018-12-25T11:53:01Z
v3.6.10,2018-12-21T16:00:53Z
v3.6.9,2018-12-21T15:34:30Z
v3.6.8,2018-12-21T14:22:05Z
v3.6.7,2018-12-21T12:32:48Z
v3.6.6,2018-12-21T01:55:39Z
v2.14.0,2018-05-11T13:29:10Z
v2.13.0,2018-05-02T18:14:13Z
v2.12.0,2018-04-24T17:52:22Z
v2.11.0,2018-04-12T15:09:12Z
v2.10.4,2018-04-08T07:36:06Z
v2.10.0,2018-04-08T00:43:38Z
