Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
labelme,v2.10.0,2018-04-08,0,1,1,0,0,0,1,1,0,1
labelme,v2.10.4,2018-04-08,0,1,1,0,0,0,1,1,0,1
labelme,v2.11.0,2018-04-12,0,1,1,0,0,0,0,1,0,1
labelme,v2.12.0,2018-04-24,0,1,1,0,0,0,0,1,0,1
labelme,v2.13.0,2018-05-02,0,1,1,0,0,0,0,1,0,1
labelme,v2.14.0,2018-05-11,0,0,1,1,0,1,0,1,0,1
labelme,v3.6.6,2018-12-21,0,1,1,0,0,0,0,1,0,1
labelme,v3.6.7,2018-12-21,0,1,1,0,0,0,0,1,0,1
labelme,v3.6.8,2018-12-21,0,1,1,0,0,0,0,1,0,1
labelme,v3.6.9,2018-12-21,0,1,1,0,0,0,0,1,0,1
labelme,v3.6.10,2018-12-21,0,1,1,0,0,0,0,1,0,1
labelme,v3.6.11,2018-12-25,0,1,1,0,0,0,0,1,0,1
labelme,v3.6.12,2018-12-29,0,1,1,0,0,0,1,1,0,1
labelme,v3.6.13,2019-01-02,0,1,1,0,0,0,1,1,0,1
labelme,v3.6.16,2019-01-02,0,1,1,0,0,0,1,1,0,1
labelme,v3.7.0,2019-01-27,0,1,1,0,0,0,0,1,0,1
labelme,v3.7.1,2019-01-28,0,1,1,0,0,0,0,1,0,1
labelme,v3.7.2,2019-01-30,0,1,1,0,0,0,0,1,0,1
labelme,v3.8.0,2019-02-01,0,1,1,0,0,0,0,1,0,1
labelme,v3.8.1,2019-02-01,0,1,1,0,0,0,0,1,0,1
labelme,v3.8.2,2019-02-12,0,1,1,0,0,0,0,1,0,1
labelme,v3.9.0,2019-02-12,0,1,1,0,0,0,0,1,0,1
labelme,v3.9.1,2019-02-21,0,1,1,0,0,0,0,1,0,1
labelme,v3.10.0,2019-02-25,0,1,1,0,0,0,1,1,0,1
labelme,v3.10.1,2019-03-01,0,1,1,0,0,0,0,1,0,1
labelme,v3.11.0,2019-03-16,0,1,1,0,0,0,0,1,0,1
labelme,v3.11.1,2019-03-21,0,1,1,0,0,0,1,1,0,1
labelme,v3.11.2,2019-03-21,0,1,1,0,0,0,1,1,0,1
labelme,v3.12.0,2019-04-11,0,1,1,0,0,0,0,1,0,1
labelme,v3.13.0,2019-04-12,0,1,1,0,0,0,1,1,0,1
labelme,v3.13.1,2019-04-12,0,1,1,0,0,0,1,1,0,1
labelme,v3.14.2,2019-05-13,0,1,1,0,0,0,0,1,0,1
labelme,v3.15.0,2019-05-15,0,1,1,0,0,0,1,1,0,1
labelme,v3.15.1,2019-05-16,0,1,1,0,0,0,1,1,0,1
labelme,v3.15.2,2019-05-16,0,1,1,0,0,0,1,1,0,1
labelme,v3.16.0,2019-05-28,0,1,1,0,0,0,0,1,0,1
labelme,v3.16.1,2019-06-10,0,0,1,1,0,1,0,1,0,1
labelme,v4.5.5,2020-07-01,0,1,1,0,0,0,1,1,0,1
labelme,v4.5.6,2020-07-16,0,1,1,0,0,0,1,1,0,1
labelme,v4.5.7,2021-01-24,0,1,1,1,0,0,1,1,0,1
labelme,v4.5.8,2021-06-27,0,1,1,0,0,0,0,1,0,1
labelme,v4.5.8.post0,2021-06-27,0,1,1,0,0,0,0,1,0,1
labelme,v4.5.9,2021-06-27,0,1,1,0,0,0,0,1,0,1
labelme,v4.5.10,2021-09-08,0,1,1,0,0,0,0,1,0,1
labelme,v4.5.11,2021-09-23,0,1,1,0,0,0,0,1,0,1
labelme,v4.5.12,2021-09-28,0,1,1,0,0,0,0,1,0,1
labelme,v4.5.13,2021-10-06,0,1,1,0,0,0,1,1,0,1
labelme,v4.6.0,2021-11-18,0,1,1,0,0,0,0,1,0,1
labelme,v5.0.0,2022-02-26,0,1,1,0,0,0,0,1,0,1
labelme,v5.0.1a0,2022-03-03,0,1,1,0,0,0,0,1,0,1
labelme,v5.0.1,2022-03-03,0,1,1,0,0,0,0,1,0,1
labelme,v5.0.2,2022-09-26,0,1,1,0,0,0,0,1,0,1
labelme,v5.0.3,2022-10-23,0,1,1,0,0,0,0,1,0,1
labelme,v5.0.4,2022-10-24,0,1,1,0,0,0,1,1,0,1
labelme,v5.0.5,2022-10-30,0,1,1,0,0,0,0,1,0,1
labelme,v5.1.0,2022-11-15,0,1,1,0,0,0,0,1,0,1
labelme,v5.1.1,2022-11-20,0,1,1,0,0,0,0,1,0,1
labelme,v5.2.0,2023-04-06,0,1,1,0,0,0,1,1,0,1
labelme,v5.2.0.post4,2023-04-13,0,1,1,0,0,0,0,1,0,1
labelme,v5.2.1,2023-05-16,0,1,1,0,0,0,0,1,0,1
labelme,v5.3.0a0,2023-05-16,0,1,1,0,0,0,0,1,0,1
labelme,v5.3.0,2023-08-06,0,1,1,0,0,0,0,1,0,1
labelme,v5.3.1,2023-08-22,0,1,1,0,0,0,1,1,0,1
labelme,v5.4.0a0,2023-12-02,0,1,1,0,0,0,1,1,0,1
labelme,v5.4.0,2023-12-31,0,1,1,0,0,0,1,1,0,1
labelme,v5.4.1,2024-01-06,0,1,1,1,0,0,1,1,0,1
labelme,v5.5.0,2024-06-13,0,1,1,0,0,0,1,1,0,1
labelme,v5.6.0,2024-12-30,0,1,1,0,0,0,0,1,0,1
labelme,v5.6.1,2025-01-23,0,1,1,0,0,0,0,1,0,1
labelme,v5.7.0,2025-03-04,0,1,1,0,0,0,0,1,0,1
labelme,v5.8.0,2025-03-16,0,1,1,0,0,0,1,1,0,1
