Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
leon,1.0.0-beta.0,2019-02-10,0,1,1,0,0,0,1,1,0,1
leon,1.0.0-beta.1,2019-02-24,0,1,1,0,0,0,1,1,0,1
leon,1.0.0-beta.2,2019-04-23,0,0,1,1,0,1,0,1,1,1
leon,v1.0.0-beta.4,2021-05-01,0,1,1,0,0,0,1,1,0,1
leon,v1.0.0-beta.5,2021-12-28,0,1,1,0,0,0,1,1,0,1
leon,v1.0.0-beta.6,2022-02-07,0,1,1,0,0,0,1,1,1,1
leon,v1.0.0-beta.7,2022-08-24,0,1,1,0,0,0,1,1,1,1
leon,python-bridge_v1.0.0,2022-10-22,0,1,1,0,0,0,1,1,1,1
leon,tcp-server_v1.0.0,2022-10-22,0,1,1,0,0,0,1,1,1,1
leon,python-bridge_v1.0.1,2023-04-26,0,1,1,0,0,0,0,1,0,1
leon,nodejs-bridge_v0.0.0,2023-04-30,0,1,1,0,0,0,0,1,0,1
leon,nodejs-bridge_v0.0.1-alpha.0,2023-05-01,0,1,1,0,0,0,1,1,1,1
leon,v1.0.0-beta.8,2023-05-01,0,1,1,0,0,0,1,1,1,1
leon,nodejs-bridge_v1.0.0,2023-05-29,0,1,1,0,0,0,1,1,0,1
leon,python-bridge_v1.1.0,2023-05-29,0,1,1,0,0,0,1,1,0,1
leon,nodejs-bridge_v1.1.0,2023-11-14,0,1,1,0,0,0,1,1,1,1
leon,python-bridge_v1.2.0,2023-11-14,0,1,1,0,0,0,1,1,1,1
leon,tcp-server_v1.1.0,2023-11-14,0,1,1,0,0,0,1,1,1,1
