Release,Published_at
v5.0.0-preview1,2025-02-26T00:52:25Z
v4.0.2,2025-02-26T00:51:04Z
v4.0.1,2025-01-14T23:35:02Z
v4.0.0-preview1,2024-03-13T06:06:52Z
v3.0.1,2024-03-13T02:52:02Z
v3.0.0,2023-11-22T19:45:29Z
v3.0.0-Preview,2023-05-16T16:55:49Z
v2.0.1-Preview,2022-11-28T19:36:34Z
v1.7.1,2022-03-09T18:41:17Z
v1.7.0-rc.1,2021-10-21T18:12:20Z
v1.6.0,2021-07-15T17:26:41Z
v1.5.5,2021-03-03T19:20:35Z
v1.5.4,2021-01-05T23:38:08Z
v1.5.2,2020-09-14T22:20:31Z
v1.5.0,2020-05-26T23:58:39Z
v1.5.0-preview2,2020-03-12T02:41:28Z
v1.5.0-preview,2020-01-01T01:26:08Z
v1.4.0,2020-01-01T01:23:54Z
1.4.0-preview2,2019-10-09T21:10:55Z
v1.4.0-preview,2019-10-09T21:09:34Z
v1.3.1,2019-08-06T10:50:27Z
v1.2.0,2019-07-03T05:44:41Z
v1.1.0,2019-06-04T22:41:39Z
v1.0.0,2019-05-03T23:34:37Z
v1.0.0-preview,2019-04-03T00:21:22Z
v0.11.0,2019-03-06T00:22:35Z
v0.10.0,2019-02-05T21:13:20Z
v0.9.0,2019-01-09T00:18:26Z
v0.8.0,2018-12-04T18:02:18Z
v0.7.0,2018-11-06T21:52:50Z
v0.6.0,2018-10-02T20:12:36Z
v0.5.0,2018-09-05T18:43:49Z
v0.4.0,2018-08-07T17:58:38Z
v0.3.0,2018-07-03T15:47:00Z
v0.2.0,2018-06-05T15:57:57Z
v0.1.0,2018-05-07T15:31:23Z
